state,#_killed,#_injured,year,pop.
Alabama,9,3,2013,4833722
Arizona,16,8,2013,6626624
California,139,46,2013,38332521
Colorado,9,4,2013,5268367
Connecticut,13,2,2013,3596080
Delaware,10,3,2013,925749
DC,32,12,2013,646449
Florida,36,22,2013,19552860
Georgia,26,5,2013,9992167
Illinois,78,14,2013,12882135
Indiana,20,9,2013,6570902
Kansas,14,6,2013,2893957
Kentucky,9,4,2013,4395295
Louisiana,52,8,2013,4625470
Maryland,16,5,2013,5928814
Michigan,62,9,2013,9895622
Minnesota,5,3,2013,5420380
Mississippi,6,2,2013,2991207
Missouri,39,9,2013,6044171
Nebraska,4,0,2013,1868516
Nevada,4,0,2013,2790136
New Jersey,32,12,2013,8899339
New Mexico,4,5,2013,2085287
New York,56,15,2013,19651127
North Carolina,47,5,2013,9848060
Ohio,30,10,2013,11570808
Oklahoma,12,14,2013,3850568
Pennsylvania,58,13,2013,12773801
Rhode Island,7,1,2013,1051511
South Carolina,12,11,2013,4774839
Tennessee,29,14,2013,6495978
Texas,41,24,2013,26448193
Utah,1,4,2013,2900872
Virginia,29,3,2013,8260405
Washington,12,8,2013,6971406
West Virginia,6,4,2013,1854304
Wisconsin,4,0,2013,5742713
Alabama,591,325,2014,4849377
Alaska,49,29,2014,736732
Arizona,222,220,2014,6731484
Arkansas,231,169,2014,2966369
California,1607,1320,2014,38802500
Colorado,164,149,2014,5355866
Connecticut,206,75,2014,3596677
Delaware,181,50,2014,935614
DC,298,92,2014,658893
Florida,1463,873,2014,19893297
Georgia,817,522,2014,10097343
Hawaii,13,8,2014,1419561
Idaho,26,31,2014,1634464
Illinois,2276,637,2014,12880580
Indiana,600,330,2014,6596855
Iowa,169,62,2014,3107126
Kansas,158,94,2014,2904021
Kentucky,318,194,2014,4413457
Louisiana,921,465,2014,4649676
Maine,25,22,2014,1330089
Maryland,602,294,2014,5976407
Massachusetts,315,101,2014,6745408
Michigan,629,348,2014,9909877
Minnesota,193,86,2014,5457173
Mississippi,317,231,2014,2994179
Missouri,647,383,2014,6063589
Montana,30,32,2014,1023579
Nebraska,148,51,2014,1881503
Nevada,153,150,2014,2839099
New Hampshire,38,22,2014,1326813
New Jersey,628,278,2014,8938175
New Mexico,82,90,2014,2085572
New York,965,397,2014,19746227
North Carolina,884,487,2014,9943964
North Dakota,24,15,2014,739482
Ohio,1120,494,2014,11594163
Oklahoma,238,171,2014,3878051
Oregon,126,96,2014,3970239
Pennsylvania,1288,547,2014,12787209
Rhode Island,76,18,2014,1055173
South Carolina,626,344,2014,4832482
South Dakota,20,16,2014,853175
Tennessee,857,352,2014,6549352
Texas,1157,1094,2014,26956958
Utah,69,62,2014,2942902
Vermont,29,18,2014,626630
Virginia,578,284,2014,8326289
Washington,236,181,2014,7061530
West Virginia,119,70,2014,1850326
Wisconsin,461,163,2014,5757564
Wyoming,12,15,2014,584153
Alabama,562,385,2015,4858979
Alaska,84,70,2015,738432
Arizona,193,215,2015,6828065
Arkansas,245,155,2015,2978204
