Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2023 (CPI-Adjusted),,,,,
Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
Southern Severe Storms and Flooding (April 1980),Flooding,19800410,19800417,2664.5,7
Hurricane Allen (August 1980),Tropical Cyclone,19800807,19800811,2159.4,13
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,19800601,19801130,39278.4,1260
Florida Freeze (January 1981),Freeze,19810112,19810114,2007.7,0
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,19810510,1365,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2144.8,85
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,19820402,19820404,1556,33
Severe Storms (June 1982),Severe Storm,19820531,19820610,1526.1,30
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,19821201,19830115,4777.2,45
Western Storms and Flooding (December 1982-March 1983),Flooding,19821213,19830331,4663.8,50
Hurricane Alicia (August 1983),Tropical Cyclone,19830817,19830820,9120,21
Southeast Drought (Summer 1983),Drought,19830601,19830831,9247.9,0
Arizona Flooding (October 1983),Flooding,19830929,19831003,1212,14
Freeze / Cold Wave (December 1983),Freeze,19831215,19831225,6258.5,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1791.6,80
Severe Storms and Hail (June 1984),Severe Storm,19840613,19840617,1311.8,1
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2418.8,150
Florida Freeze (January 1985),Freeze,19850120,19850122,3468,0
Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,19850531,19850531,1704,89
Hurricane Elena (September 1985),Tropical Cyclone,19850830,19850903,3671.6,4
Hurricane Gloria (September 1985),Tropical Cyclone,19850926,19850928,2414,11
Hurricane Juan (October 1985),Tropical Cyclone,19851027,19851031,4205.8,63
