Year,Organization Group,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary
2007,General Administration & Finance,Administrative & Mgmt (Unrep),Chief Investment Officer,533985.94,0,0,533985.94
2004,General Administration & Finance,Administrative & Mgmt (Unrep),Chief Investment Officer,515101.8,0,0,515101.8
1994,General Administration & Finance,,Managing Director,420076.62,0,0,420076.62
1998,Community Health,Y,"Physician Administrator, DPH",418016.62,0,0,418016.62
2017,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,276342.28,6759.31,126791.03,409892.62
1994,Public Protection,Management,Chief Of Police,292450.12,0,100271.38,392721.5
2009,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",147998.68,51965.62,181752.53,381716.83
2006,General Administration & Finance,Administrative & Mgmt (Unrep),Chief Investment Officer,379201.7,0,0,379201.7
2003,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,276342.26,12983.83,83890.91,373217
2005,Public Protection,Police Services,Deputy Chief 3,191142.01,0,181495.74,372637.75
1996,Public Protection,Police Services,Deputy Chief 3,221104.83,0,145382.37,366487.2
2011,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),120562.06,0,244899.02,365461.08
2002,Public Protection,Correction & Detention,Sheriff's Lieutenant,138857.48,188937.79,36015.95,363811.22
1994,Community Health,Medical & Dental,Senior Physician Specialist,243095.4,0,115634.31,358729.71
1995,"Public Works, Transportation & Commerce",Street Transit,Transit Operator,355340.57,1892.17,748.29,357981.03
2001,Public Protection,Correction & Detention,Deputy Sheriff,100724.07,227313.62,23729.64,351767.33
2006,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,267141.01,17556.04,66844.84,351541.89
2003,General Administration & Finance,Management,Dept Head V,346944,0,0,346944
2003,Public Protection,Police Services,Deputy Chief 3,160146,0,186257.35,346403.35
1996,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),211664.28,96638.05,35613.55,343915.88
1993,Public Protection,Management,"Chief, Fire Department",312390.9,0,31239.09,343629.99
2000,Community Health,Medical & Dental,Senior Physician Specialist,233936.4,0,108650.47,342586.87
2011,"Public Works, Transportation & Commerce",Management,Executive Contract Employee,340344,0,0,340344
2012,Public Protection,Correction & Detention,Deputy Sheriff,104621,203449.63,31039.31,339109.94
2003,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181266.54,126429.13,30588.95,338284.62
2005,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",174681.32,116757.93,45892.99,337332.24
1997,"Public Works, Transportation & Commerce",Management,Executive Contract Employee,198862.02,0,137912.02,336774.04
2012,Public Protection,Police Services,Deputy Chief 3,0,0,336726.34,336726.34
2009,Public Protection,Correction & Detention,Deputy Sheriff,105023.3,200886.22,30420.52,336330.04
1999,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),203523.84,101632.95,30202.69,335359.48
2017,"Public Works, Transportation & Commerce",Management,Dept Head V,334779.09,0,0,334779.09
1993,Public Protection,Management,"Chief, Fire Department",307430.8,0,26213.75,333644.55
2006,Public Protection,Correction & Detention,Senior Deputy Sheriff,116405.91,189972.19,27083.17,333461.27
2014,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,297044.15,7990.9,27274.95,332310
2010,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",184897.12,118993.95,27568.93,331460
2013,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,238677.52,7361.91,84042.32,330081.75
1992,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.14,122468.48,27801.33,329733.95
2013,Community Health,Management,Dept Head V,329470.33,0,0,329470.33
2000,General Administration & Finance,Management,Dept Head V,329237.31,0,0,329237.31
1998,Public Protection,Fire Services,"Lieutenant, Fire Suppression",131177.29,178543.79,19485.43,329206.51
2003,Public Protection,Police Services,Deputy Chief 3,144648,0,184479.23,329127.23
1995,"Public Works, Transportation & Commerce",Management,Executive Contract Employee,328434.41,0,0,328434.41
2015,Public Protection,Management,Chief Of Police,308632.56,0,19341.15,327973.71
2015,Public Protection,Management,Chief Of Police,308632.51,0,19340.35,327972.86
1995,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179760.51,119940.25,27961.63,327662.39
2004,Public Protection,Management,"Chief, Fire Department",303229.81,0,24258.39,327488.2
1992,Public Protection,Management,"Chief, Fire Department",303229.81,0,24258.38,327488.19
2006,Community Health,Medical & Dental,Senior Physician Specialist,210129.11,0,117084.37,327213.48
1998,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",199080.49,92897.69,33902.42,325880.6
2007,Public Protection,Management,Chief Of Police,305942.01,0,19175.68,325117.69
2006,Public Protection,Correction & Detention,Deputy Sheriff,95968.49,205988.12,22774.87,324731.48
2003,"Public Works, Transportation & Commerce",Street Transit,"Gen Mgr, Public Trnsp Dept",324064.94,0,0,324064.94
1993,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),209501.29,82145.98,32181.33,323828.6
2017,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",178067.4,107735.92,36408.16,322211.48
2005,Public Protection,Correction & Detention,Deputy Sheriff,100700.48,194753.71,26257.82,321712.01
2002,Public Protection,Management,"Chief, Fire Department",302068.01,0,19634.42,321702.43
1994,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),205480.8,85702.45,30486.45,321669.7
1997,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),209501.3,90767.33,21050.13,321318.76
1994,Public Protection,Correction & Detention,Deputy Sheriff,104621,192194.68,23867.62,320683.3
2010,General Administration & Finance,,Managing Director,320644.31,0,0,320644.31
2012,"Public Works, Transportation & Commerce",Management,Dept Head V,318344.77,0,0,318344.77
2005,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130444.96,170015.26,17747.68,318207.9
2011,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,286269.57,7880.54,23246.1,317396.21
2013,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),213680.14,82299.14,21367.97,317347.25
2010,"Public Works, Transportation & Commerce",Management,Executive Contract Employee,317112.81,0,0,317112.81
2011,Community Health,Administrative & Mgmt (Unrep),"Administrator, Department Of Public Heal",316781.28,0,0,316781.28
1998,Community Health,Management,Dept Head V,316368.52,0,0,316368.52
2016,Public Protection,Correction & Detention,Senior Deputy Sheriff,115960,177436.7,22957.47,316354.17
2009,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181961.45,117253.32,16541.48,315756.25
2009,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181266.56,95175.43,38276.6,314718.59
2007,Public Protection,Correction & Detention,Deputy Sheriff,105023.32,184093.91,25380.62,314497.85
1999,Public Protection,Police Services,Captain 3,164690,0,149332.91,314022.91
2013,Community Health,Medical & Dental,Senior Physician Specialist,199638.91,0,114316.71,313955.62
2001,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),209737.2,75214.95,27962.72,312914.87
1994,"Public Works, Transportation & Commerce",Street Transit,"Gen Mgr, Public Trnsp Dept",312303.73,0,0,312303.73
2011,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",177771.17,103881.46,29484.14,311136.77
2006,Community Health,Management,Manager VIII,310140,0,0,310140
2005,"Public Works, Transportation & Commerce",Management,Dept Head V,308965.21,0,0,308965.21
1996,Public Protection,Police Services,Captain 3,172350.01,0,136520.57,308870.58
2011,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",186641.44,90927.74,30795.84,308365.02
1998,Public Protection,Fire Services,"Captain, Fire Suppression",151020.5,134375.45,22921.65,308317.6
2016,"Public Works, Transportation & Commerce",Management,Dept Head V,307760.62,0,0,307760.62
1997,Public Protection,Police Services,Sergeant 3,126704.83,33497.29,147424.56,307626.68
1992,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",197116.31,73138.41,37004.53,307259.25
2012,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,286269.59,1653.46,19185,307108.05
2014,"Public Works, Transportation & Commerce",Management,Executive Contract Employee,306710.72,0,0,306710.72
2008,Community Health,Administrative & Mgmt (Unrep),"Administrator, Department Of Public Heal",306398.64,0,0,306398.64
2016,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,278670.94,3698.83,23632.5,306002.27
2016,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),207437.76,77562.87,20743.71,305744.34
1998,Public Protection,Police Services,Lieutenant 3,162370.45,0,142735.86,305106.31
1995,Community Health,Nursing,Nursing Supervisor,217969.99,0,86906.86,304876.85
2012,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),206475.6,77480.51,20490.94,304447.05
1994,Community Health,Nursing,Anesthetist,280545,6957.69,16706.55,304209.24
2005,Public Protection,Correction & Detention,Senior Deputy Sheriff,116405.9,159935.25,27649.85,303991
2014,Community Health,Nursing,Anesthetist,253660.65,24002.49,26082.04,303745.18
2006,General Administration & Finance,Administrative & Mgmt (Unrep),Mayor,303563.09,0,0,303563.09
2007,Community Health,Management,Dept Head V,302512.91,0,0,302512.91
2008,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181404.15,86608.52,34385.95,302398.62
1992,"Public Works, Transportation & Commerce",Management,Dept Head V,302114.18,0,0,302114.18
1999,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",204633.73,66811.02,30339.84,301784.59
