GARDEN NAME,Address,Borough,Zip,What-this,Community District,COUNCIL DISTRICT,GROW FOOD,FRUIT TREES
61 Franklin Street Garden,61 Franklin Street,Brooklyn,11222,DPR,B01,33,Yes,No
Berry Street Garden,303 Berry Street,Brooklyn,11249,DPR,B01,34,Yes,Yes
El Puente: Espiritu Tierra Community Garden - Earth Spirit,203-207 South 2nd Street,Brooklyn,11211,DPR,B01,34,Yes,Yes
Grand Street Community Garden,239 Grand Street,Brooklyn,11211,DPR,B01,34,Yes,Yes
Green Dome,229 North 12th Street,Brooklyn,11211,DPR,B01,33,No,Yes
Heckscher Foundation Chil- dren's Garden (Williamsburg Garden),134 Scholes Street,Brooklyn,11206,NYRP,B01,34,No,No
Hooper Grove,375 South 5th Street,Brooklyn,11211,DPR,B01,34,No,Yes
I.S. 318 - Project Roots,110 Walton Street,Brooklyn,11206,DPR,B01,33,Yes,No
Java Street Community Garden,59 Java Street,Brooklyn,11222,DPR,B01,33,Yes,No
Keap Fourth Community Garden,347 Keap Street,Brooklyn,11211,DPR,B01,34,Yes,Yes
La Casita Verde Community Garden,451 Bedford Avenue,Brooklyn,11211,DPR,B01,33,Yes,No
Lentol Garden,178 Bayard Street,Brooklyn,11222,DPR,B01,33,No,Yes
Northside Community Garden,599 Driggs Avenue,Brooklyn,11211,BQLT,B01,33,No,No
Oko Farms Aquaponics Education Garden,104 Moore Street,Brooklyn,11206,DPR,B01,34,Yes,No
Olive Street Garden,25 Olive Street,Brooklyn,11211,DPR,B01,34,Yes,No
Powers Street Garden,276-278 Powers Street,Brooklyn,11211,DPR,B01,34,Yes,No
Red Shed Garden,264-266 Skillman Avenue,Brooklyn,11211,DPR,B01,34,Yes,Yes
Scholes Street Children’s School,134 Scholes Street,Brooklyn,11206,NYRP,B01,34,No,No
Sunshine Community Garden,99-100 Mckibben Street,Brooklyn,11206,DPR,B01,34,Yes,Yes
Ten Eyck Garden,15-17 Ten Eyck Street,Brooklyn,11206,DPR,B01,34,Yes,Yes
Bridge Plaza Community Garden,153 Concord Street,Brooklyn,11201,NYRP,B02,33,No,No
Brooklyn Bears/Carlton Avenue Garden,397-401 Carlton Avenue,Brooklyn,11238,DPR,B02,35,Yes,Yes
Brooklyn Bears/Paci!c Street Garden,590 Paci!c Street,Brooklyn,11217,BANG,B02,39,No,No
Brooklyn Bears/Rockwell Place Garden,65-73 Flatbush Avenue,Brooklyn,11217,DPR,B02,35,Yes,Yes
Brooklyn's Finest Garden,"48 Le""erts Place",Brooklyn,11238,DPR,B02,35,Yes,Yes
Classon / Fulgate Block Association Garden,472 - 474 Classon Avenue,Brooklyn,11238,BQLT,B02,35,No,No
Clifton Place Block Associa- tion Garden,289 Grand Avenue,Brooklyn,11238,BQLT,B02,35,No,No
David Foulke Memorial Garden,248-250 Bergen Street,Brooklyn,11217,BQLT,B02,33,No,No
GARDEN NAME,,,,,,,,
Greene Garden,2 South Portland Avenue,Brooklyn,11217,BQLT,B02,35,No,No
Hollenback Community Garden,460 Washington Avenue,Brooklyn,11238,BQLT,B02,35,No,No
Poplar Street Community Garden,25 Poplar Street,Brooklyn,11201,DOT,B02,33,No,No
Vinegar Hill Community Garden,199 York Street,Brooklyn,11201,DPR,B02,33,Yes,Yes
100 Quincy Community Garden,100 Quincy Street,Brooklyn,11238,DPR,B03,35,Yes,No
462 Halsey Community Farm,462-466 Halsey Street,Brooklyn,11233,DPR,B03,36,Yes,Yes
A Better Community Garden,3 Hunter!y Place,Brooklyn,11233,DPR,B03,36,Yes,Yes
All People's Church Of The Apostolic Faith Community Garden,149 Tompkins Avenue,Brooklyn,11206,DPR,B03,36,Yes,Yes
American Heart Garden,122 Hart Street,Brooklyn,11206,DPR,B03,36,Yes,No
Bedford Stuyvesant Com- munity Garden (Lola Bryant Comm. Garden),95 Malcolm X Bou- levard,Brooklyn,11221,NYRP,B03,36,No,No
Bed-Stuy Farm,404 Decatur Street,Brooklyn,11233,DPR/PRI,B03,36,Yes,No
Cedar Tree Garden,305 Greene Avenue,Brooklyn,11238,DPR,B03,35,Yes,Yes
Central Bainbridge Street Community Garden,"277-279 Bain-
bridge Street",Brooklyn,11233,BQLT,B03,41,No,No
Citizens For A Better Com- munity Garden,742 Monroe Street,Brooklyn,11221,DPR,B03,41,Yes,Yes
Clifton Place Memorial Garden & Park,1031 Bedford Avenue,Brooklyn,11216,DPR,B03,36,Yes,Yes
F.A.R.R. Community Garden,808 Herkimer Street,Brooklyn,11233,DPR,B03,36,Yes,Yes
