starttime,stoptime,start station id,usertype,birth year,gender
00:03.6,26:33.0,224,Subscriber,1980,1
00:16.8,06:46.1,293,Subscriber,1991,2
00:20.1,10:34.2,379,Subscriber,1991,1
00:24.4,10:22.3,3739,Subscriber,1989,1
00:26.1,32:26.3,236,Subscriber,1993,1
00:46.1,35:01.3,471,Subscriber,1985,1
01:04.7,13:49.0,83,Subscriber,1980,2
01:04.9,29:44.0,3809,Subscriber,1968,2
01:09.3,08:30.9,3463,Subscriber,1970,1
01:09.4,11:11.2,406,Subscriber,1985,1
01:25.6,08:33.4,3463,Subscriber,1968,2
01:29.2,11:14.9,302,Subscriber,1988,1
01:33.1,05:30.1,3508,Subscriber,1993,1
01:34.2,08:24.7,410,Customer,1989,1
01:50.0,25:27.4,297,Customer,1999,1
01:56.2,08:25.1,3309,Subscriber,1973,1
02:17.7,04:55.5,237,Subscriber,2000,0
02:21.6,34:22.0,447,Subscriber,1980,1
02:40.1,07:12.3,499,Subscriber,1957,1
02:42.6,08:25.9,82,Subscriber,1992,2
02:47.1,30:50.5,453,Subscriber,1995,1
02:50.4,07:37.3,3260,Subscriber,1996,1
02:59.6,11:29.2,3336,Subscriber,1968,1
03:00.4,13:47.8,223,Subscriber,1960,0
03:01.2,05:57.0,3156,Subscriber,1993,1
03:08.3,11:18.7,536,Subscriber,1980,1
03:11.9,14:54.6,3523,Subscriber,1983,1
03:14.8,10:57.0,3707,Subscriber,1994,1
03:15.7,06:31.2,3641,Subscriber,1989,1
03:25.5,25:45.5,3463,Subscriber,1993,1
03:29.5,10:28.5,173,Subscriber,1980,1
03:32.0,09:29.5,364,Subscriber,1987,1
03:33.4,27:17.5,531,Subscriber,1994,2
03:35.5,05:28.4,119,Subscriber,1963,1
03:44.1,06:45.9,3582,Subscriber,1984,1
03:50.8,06:18.5,119,Subscriber,1978,2
03:52.9,07:46.7,3177,Subscriber,1974,1
04:01.6,17:58.8,3177,Subscriber,1991,2
04:09.8,14:21.5,3618,Subscriber,1978,1
04:10.4,10:26.2,285,Subscriber,1982,1
04:22.4,14:04.8,497,Subscriber,1956,1
04:43.9,08:37.4,439,Subscriber,1980,1
04:49.3,15:15.7,3165,Subscriber,1975,1
04:52.4,13:08.9,3799,Subscriber,1979,1
04:55.5,12:08.3,453,Subscriber,1961,1
05:04.0,07:19.1,3350,Subscriber,1994,1
05:19.8,09:38.6,477,Subscriber,1993,1
05:28.6,22:53.1,447,Subscriber,1969,0
05:28.8,18:17.5,500,Subscriber,1947,2
05:41.9,09:04.1,445,Subscriber,1985,1
05:46.3,23:56.8,373,Subscriber,1990,1
05:48.8,17:03.1,3690,Subscriber,1994,1
05:49.5,46:18.5,236,Subscriber,2000,0
05:50.2,20:33.8,453,Subscriber,1983,1
05:50.9,07:56.5,79,Subscriber,1971,1
05:54.4,18:56.9,504,Subscriber,1992,1
06:06.8,19:28.0,3745,Subscriber,1975,2
06:08.7,18:28.8,504,Subscriber,1994,2
06:09.0,10:56.1,3725,Subscriber,1995,2
06:26.5,14:30.4,3508,Customer,2000,1
06:29.1,10:31.7,489,Subscriber,1988,1
06:30.8,20:00.9,385,Subscriber,1972,1
06:42.8,20:37.9,3362,Subscriber,1985,2
06:44.6,10:23.9,3686,Subscriber,1994,1
06:53.9,10:15.7,528,Subscriber,1990,1
06:59.3,14:00.6,497,Subscriber,1984,1
07:40.0,14:17.7,3718,Subscriber,1991,1
07:45.4,10:03.9,3078,Subscriber,1971,1
08:04.4,10:27.6,119,Subscriber,1963,1
08:26.4,11:57.4,285,Subscriber,1967,1
08:26.7,15:59.3,518,Subscriber,1996,1
08:50.2,10:52.4,317,Subscriber,1993,1
08:53.3,10:40.1,317,Subscriber,1993,2
09:02.6,39:16.5,3783,Subscriber,1995,1
09:07.5,16:54.5,529,Subscriber,1987,1
09:28.3,19:46.2,3086,Subscriber,1983,1
09:44.0,33:54.3,3809,Subscriber,1976,2
09:53.8,13:30.8,479,Subscriber,1964,1
10:21.1,20:52.0,3260,Subscriber,1961,1
10:21.4,13:35.3,254,Subscriber,1985,1
10:25.3,12:55.2,119,Subscriber,1978,2
10:27.6,12:29.4,350,Subscriber,1997,1
10:34.3,16:54.2,3544,Subscriber,1988,1
10:38.6,16:11.8,3409,Subscriber,1992,1
10:40.3,27:20.3,267,Customer,1995,2
10:41.3,29:03.8,3637,Subscriber,1977,1
10:42.1,12:32.1,245,Subscriber,1963,1
10:51.3,14:21.1,289,Subscriber,1938,2
10:55.7,19:21.6,3332,Subscriber,1964,1
11:00.9,27:22.2,267,Customer,1995,1
11:02.0,13:26.8,311,Subscriber,1999,2
11:11.2,20:10.3,474,Subscriber,1989,1
11:25.1,44:09.2,3325,Subscriber,1990,2
11:34.2,13:39.5,3263,Subscriber,1991,1
11:37.2,19:19.3,3809,Subscriber,1987,1
11:37.4,16:07.3,499,Subscriber,1979,1
11:39.4,21:32.9,3785,Subscriber,1994,1
11:43.5,19:36.5,478,Subscriber,1977,1
11:44.0,14:33.0,434,Subscriber,1988,1
11:50.3,18:39.9,3597,Subscriber,1984,2
11:52.7,16:04.5,499,Subscriber,1978,2
