Electricity Net Generation Total (including from sources not shown) All Sectors Monthly
https://www.eia.gov/opendata/v1/qb.php?category=711280&sdid=TOTAL.ELETPUS.M
13:20:03 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ELETPUS.M Million Kilowatthours
May 2022,343502.19
Apr 2022,304348.709
Mar 2022,325952.002
Feb 2022,327766.846
Jan 2022,378966.702
Dec 2021,339684.017
Nov 2021,315494.917
Oct 2021,319638.396
Sep 2021,348200.651
Aug 2021,413353.176
Jul 2021,404748.717
Jun 2021,373754.405
May 2021,318858.513
Apr 2021,292503.539
Mar 2021,312284.622
Feb 2021,326223.389
Jan 2021,350795.813
Dec 2020,344346.095
Nov 2020,301250.181
Oct 2020,313531.271
Sep 2020,333258.048
Aug 2020,398279.697
Jul 2020,409561.7
Jun 2020,351744.93
May 2020,304593.238
Apr 2020,279583.265
Mar 2020,309586.723
Feb 2020,319550.114
Jan 2020,341850.206
Dec 2019,338401.647
Nov 2019,315849.092
Oct 2019,320351.885
Sep 2019,360518.468
Aug 2019,401429.694
Jul 2019,410037.81
Jun 2019,352988.074
May 2019,330423.048
Apr 2019,296662.569
Mar 2019,326657.208
Feb 2019,315026.484
Jan 2019,359509.234
Dec 2018,342139.112
Nov 2018,322368.657
Oct 2018,324931.943
Sep 2018,356258.302
Aug 2018,408027.757
Jul 2018,411290.32
Jun 2018,371885.761
May 2018,338947.606
Apr 2018,300756.44
Mar 2018,321546.954
Feb 2018,306894.214
Jan 2018,373230.28
Dec 2017,350415.808
Nov 2017,308052.342
Oct 2017,318669.649
Sep 2017,335914.91
Aug 2017,384738.58
Jul 2017,404432.474
Jun 2017,358522.007
May 2017,323446.738
Apr 2017,295360.591
Mar 2017,319335.755
Feb 2017,291049.672
Jan 2017,344332.034
Dec 2016,345342.577
Nov 2016,297061.772
Oct 2016,312945.164
Sep 2016,351484.468
Aug 2016,409700.812
Jul 2016,411886.942
Jun 2016,367781.196
May 2016,316784.457
Apr 2016,292893.55
Mar 2016,304389.581
Feb 2016,313685.401
