Electricity Sales to Ultimate Customers Residential Monthly
https://www.eia.gov/opendata/v1/qb.php?category=711290&sdid=TOTAL.ESRCPUS.M
13:21:40 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ESRCPUS.M Million Kilowatthours
May 2022,110482.201
Apr 2022,98449.326
Mar 2022,112303.046
Feb 2022,126230.109
Jan 2022,140593.604
Dec 2021,118084.631
Nov 2021,101030.15
Oct 2021,104580.802
Sep 2021,131863.863
Aug 2021,158651.322
Jul 2021,155325.123
Jun 2021,132833.6
May 2021,101498.315
Apr 2021,94177.117
Mar 2021,114426.394
Feb 2021,126969.92
Jan 2021,137127.39
Dec 2020,129760.758
Nov 2020,99660.937
Oct 2020,105513.936
Sep 2020,127823.893
Aug 2020,158939.147
Jul 2020,167108.142
Jun 2020,131538.051
May 2020,105680.943
Apr 2020,97759.203
Mar 2020,104254.943
Feb 2020,112122.882
Jan 2020,124442.211
Dec 2019,121078.077
Nov 2019,102452.922
Oct 2019,107997.208
Sep 2019,131566.727
Aug 2019,150083.056
Jul 2019,153748.889
Jun 2019,120116.17
May 2019,100331.071
Apr 2019,90383.822
Mar 2019,112605.415
Feb 2019,116608.002
Jan 2019,133317.55
Dec 2018,123180.404
Nov 2018,103789.957
Oct 2018,107048.753
Sep 2018,128909.793
Aug 2018,153496.494
Jul 2018,153566.05
Jun 2018,129912.899
May 2018,103847.999
Apr 2018,95453.616
Mar 2018,107218.431
Feb 2018,113751.28
Jan 2018,148917.384
Dec 2017,122004.617
Nov 2017,98320.565
Oct 2017,102811.043
Sep 2017,118778.782
Aug 2017,142007.167
Jul 2017,149900.482
Jun 2017,122543.169
May 2017,98281.159
Apr 2017,90724.504
Mar 2017,103095.52
Feb 2017,100968.236
Jan 2017,129212.499
Dec 2016,121280.856
Nov 2016,93244.091
Oct 2016,101507.966
Sep 2016,129362.932
Aug 2016,156441.524
Jul 2016,154409.327
Jun 2016,125211.239
May 2016,94198.03
Apr 2016,88244.34
Mar 2016,100226.575
Feb 2016,115959.425
Jan 2016,130971.848
Dec 2015,111670.437
Nov 2015,92677.749
Oct 2015,99349.047
Sep 2015,125416.666
Aug 2015,144515.145
Jul 2015,146038.291
Jun 2015,120299.754
May 2015,95160.533
Apr 2015,90199.187
Mar 2015,117167.111
Feb 2015,123837.721
Jan 2015,137764.859
Dec 2014,120800.62
Nov 2014,99485.771
Oct 2014,98037.682
Sep 2014,120741.347
Aug 2014,135829.797
Jul 2014,137027.969
Jun 2014,118049.037
May 2014,95726.768
Apr 2014,92289.715
Mar 2014,114232.804
Feb 2014,128475.358
Jan 2014,146511.442
Dec 2013,128966.061
Nov 2013,97904.016
Oct 2013,98893.015
Sep 2013,121419.216
Aug 2013,138065.07
Jul 2013,143854.749
Jun 2013,117982.106
May 2013,95191.598
Apr 2013,95540.851
Mar 2013,112096.725
Feb 2013,113113.885
Jan 2013,131784.837
Dec 2012,114187.602
Nov 2012,97155.232
Oct 2012,96669.433
Sep 2012,118831.342
Aug 2012,147941.043
Jul 2012,154579.071
Jun 2012,122934.131
May 2012,100895.117
Apr 2012,88103.21
Mar 2012,99361.686
Feb 2012,107975.357
Jan 2012,125881.483
Dec 2011,116341.023
Nov 2011,93220.496
Oct 2011,94585.12
Sep 2011,122719.499
Aug 2011,153738.733
Jul 2011,154728.92
Jun 2011,125982.785
May 2011,97689.098
Apr 2011,93701.639
Mar 2011,104922.123
Feb 2011,120109.969
Jan 2011,145061.688
Dec 2010,130013.884
Nov 2010,93166.139
Oct 2010,96688.033
Sep 2010,124582.732
Aug 2010,154053.431
Jul 2010,154688.714
Jun 2010,127495.969
May 2010,94843.006
Apr 2010,88046.435
Mar 2010,111789.985
Feb 2010,122840.199
Jan 2010,147499.876
Dec 2009,124013.231
Nov 2009,93027.978
Oct 2009,98552.023
Sep 2009,115163.382
Aug 2009,138222.678
Jul 2009,137497.959
Jun 2009,114395.185
