time,fossil-gas,hard-coal,fossil-oil,nuclear,solar,wind-onshore,load-forecast,load-actual,price
2015-01-01 00:00:00+01:00,4844,4821,162,7096,49,6378,26118,25385,65.41
2015-01-01 01:00:00+01:00,5196,4755,158,7096,50,5890,24934,24382,64.92
2015-01-01 02:00:00+01:00,4857,4581,157,7099,50,5461,23515,22734,64.48
2015-01-01 03:00:00+01:00,4314,4131,160,7098,50,5238,22642,21286,59.32
2015-01-01 04:00:00+01:00,4130,3840,156,7097,42,4935,21785,20264,56.04
2015-01-01 05:00:00+01:00,4038,3590,156,7098,34,4618,21441,19905,53.63
2015-01-01 06:00:00+01:00,4040,3368,158,7098,34,4397,21285,20010,51.73
2015-01-01 07:00:00+01:00,4030,3208,160,7099,35,3992,21545,20377,51.43
2015-01-01 08:00:00+01:00,4052,3335,161,7098,54,3629,21443,20094,48.98
2015-01-01 09:00:00+01:00,4137,3437,163,7097,743,3073,21560,20637,54.2
2015-01-01 10:00:00+01:00,4059,3516,167,7096,2019,2683,22824,22250,58.94
2015-01-01 11:00:00+01:00,3931,3845,166,7097,3197,2771,23720,23547,59.86
2015-01-01 12:00:00+01:00,3784,4220,167,7097,3885,2906,24180,24133,60.12
2015-01-01 13:00:00+01:00,3754,4404,167,7099,4007,2923,24797,24713,62.05
2015-01-01 14:00:00+01:00,3779,4256,166,7097,3973,2945,25222,24672,62.06
2015-01-01 15:00:00+01:00,3708,4038,160,7096,3818,2709,24173,23528,59.76
2015-01-01 16:00:00+01:00,3813,4191,163,7095,3088,2552,23659,23118,61.18
2015-01-01 17:00:00+01:00,3967,4707,165,7095,1467,2699,23982,23606,64.74
2015-01-01 18:00:00+01:00,4756,4756,164,7096,404,2764,26981,26447,74.26
2015-01-01 19:00:00+01:00,4410,4918,147,7096,139,2913,28515,28020,74.24
2015-01-01 20:00:00+01:00,4324,5025,154,7096,100,3118,30482,29014,75.64
2015-01-01 21:00:00+01:00,4684,5043,154,7096,75,3373,30739,29571,73.92
2015-01-01 22:00:00+01:00,4870,4990,154,7098,74,3508,29756,29031,70.53
2015-01-01 23:00:00+01:00,4685,4942,160,7098,56,3527,27589,26798,64.13
2015-01-02 00:00:00+01:00,3189,1291,193,7106,54,13232,27309,27070,64.02
2015-01-02 01:00:00+01:00,2902,1190,192,7106,54,12760,25397,24935,58.46
