year,avg_cable_bill,median_household_income
1995,22.35,"35,249"
1996,23.28,"36,689"
1997,26.31,"38,229"
1998,27.88,"40,148"
1999,28.94,"41,994"
2000,31.22,"42,349"
2001,33.75,"42,710"
2002,36.47,"43,057"
2003,38.95,"43,564"
2004,41.04,"44,684"
2005,43.04,"46,242"
2006,43.26,"48,451"
2007,47.27,"50,740"
2008,49.65,"52,029"
2009,52.37,"50,221"
2010,54.44,"50,046"
2011,57.46,"50,502"
2012,61.63,"51,371"
2013,69.18,"52,250"
2014,71.45,"53,657"
2015,78.42,"55,775"
2016,150.98,"57,617"
2017,168.49,"61,372"
2018,199.99,"64,324"
2019,210.84,"69,560"
2020,217.42,"67,521"
2021,231.1,"70,784"
2022,251.48,"74,580"
2023,291.81,"75,143"
