Date,location,operator,planeType,Dead,Aboard,Ground,,,
9/17/08,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,1,2,0,,,
7/12/12,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,5,0,,,
8/6/13,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,1,0,,,
9/9/13,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),14,20,0,,,
10/17/13,"Near Johannisthal, Germany",Military - German Navy,Zeppelin L-2 (airship),30,30,0,,,
3/5/15,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),21,41,0,,,
9/3/15,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),19,19,0,,,
7/28/16,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),20,20,0,,,
9/24/16,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),22,22,0,,,
10/1/16,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,19,0,,,
11/21/16,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),27,28,0,,,
11/28/16,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),20,20,0,,,
3/4/17,"Near Gent, Belgium",Military - German Army,Airship,20,20,0,,,
3/30/17,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),23,23,0,,,
5/14/17,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),21,21,0,,,
6/14/17,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),24,24,0,,,
6/17/17,"Near Yarmouth, England",?,Zepplin LZ-95 (air ship),14,16,0,,,
8/21/17,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),18,18,0,,,
10/20/17,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),18,18,0,,,
4/7/18,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),23,23,0,,,
5/10/18,"Off Helgoland Island, Germany",Military - German Navy,Zeppelin L-70 (airship),22,22,0,,,
8/11/18,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),19,19,0,,,
12/16/18,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
5/25/19,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
7/19/19,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
10/2/19,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1,1,0,,,
10/14/19,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,1,0,,,
10/20/19,English Channel,Aircraft Transport and Travel,De Havilland DH-4,NA,NA,NA,,,
10/30/19,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1,1,0,,,
3/10/20,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
3/30/20,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
4/10/20,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,1,2,0,,,
4/11/20,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,1,2,0,,,
5/12/20,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,1,2,0,,,
6/6/20,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
8/16/20,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
8/16/20,"Bedford, England",By Air,Armstrong-Whitworth F-K-8,1,1,0,,,
9/1/20,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2,2,0,,,
9/15/20,"Pemberville, Ohio",US Aerial Mail Service,Junkers F-13,2,2,0,,,
9/27/20,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
10/2/20,"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,2,2,0,,,
10/5/20,"Valencia, Spain",Latecoere Airlines,Breguet 14,2,2,0,,,
10/15/20,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
11/7/20,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
12/14/20,"London, England",Handley Page Transport,Handley Page HP-16,4,8,0,,,
12/24/20,"Barcelona, Spain",Aeropostale,Breguet 14,1,1,0,,,
2/3/21,"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
2/9/21,"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3,3,0,,,
2/15/21,Off Gibraltar,Aeropostale,Breguet 14,2,2,0,,,
2/22/21,"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
4/6/21,"Point Cook, Australia",Military - Royal Australian Air Force,Avro 504,1,2,0,,,
4/21/21,"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
4/29/21,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
5/17/21,"Rock Springs, Wyoming",US Aerial Mail Service,"De Havilland DH-4
De Havilland DH-4,1,1,0
1921-07-16""","San Francisco, California",US Aerial Mail Service,De Havilland DH-4,1,1,0
8/14/21,"Toulouse, France",Aeropostale,Breguet 14,2,2,0,,,
8/24/21,"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),46,46,1,,,
9/6/21,"Paris, France",Franco-Roumaine,Potez IX,5,5,0,,,
12/5/21,"Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,3,3,0,,,
1/14/22,"Paris, France",Handley Page Transport,Handley Page O/10,5,5,5,,,
2/21/22,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Dirigible Roma (airship),34,45,0,,,
3/22/22,North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat),5,6,0,,,
4/7/22,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7,7,0,,,
4/8/22,"Pao Ting Fou, China",?,?,17,17,0,,,
4/13/22,"Brooklands, England",Vickers,Vickers Viking,3,3,0,,,
6/3/22,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,3,3,0,,,
7/4/22,"Fuhlsbuttel, Germany",?,LVG C VI,2,3,0,,,
7/16/22,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,5,5,0,,,
7/26/22,"Cadix, Spain",Grands Express Aeriens,Breguet 14,3,3,0,,,
9/7/22,"Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
10/2/22,"Venice, Italy",?,de Havilland DH-9,4,4,0,,,
10/25/22,"Larache, Morocco",Grands Express Aeriens,Breguet 14,2,2,0,,,
12/3/22,"Fez, Morocco",Grands Express Aeriens,Breguet 14,1,1,0,,,
1/10/23,"Ajaccio, France",Amee de l'Air,Lior????-et-Olivier H-13,3,4,0,,,
1/17/23,"Barcelona, Spain",Grands Express Aeriens,Breguet 14,1,1,0,,,
1/18/23,"Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
2/26/23,"Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
5/14/23,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,6,6,0,,,
8/27/23,"Bucharest, Romania",Campagnie France Roumaine,Bl????riot Spad 46,2,2,0,,,
9/7/23,"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
9/14/23,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,de Havilland DH-34,5,5,0,,,
11/18/23,Russia,CCCP,Junkers F-13,2,4,0,,,
12/6/23,"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
12/23/23,Over the Mediterranean Sea,Military - French Navy,Zeppelin Dixmunde (airship),52,52,0,,,
12/24/23,"Egbert, WY",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
3/7/24,"Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
4/24/24,Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3,3,0,,,
6/8/24,"Barranquilla, Colombia",SCADTA,Junkers F-13,5,5,0,,,
8/1/24,United States,US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
11/6/24,"Cabrerolles, France",Grands Express Aeriens,?,1,1,0,,,
12/21/24,"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
12/24/24,"Purley, England",Imperial Airways,de Havilland DH-34B,8,8,0,,,
3/22/25,"Near Tiflis, Georgia, USSR",Zakavia,Junkers F-13,5,3,0,,,
4/25/25,"Alicante, Spain",Grands Express Aeriens,Breguet 14,4,4,0,,,
5/25/25,"Alicante, Spain",Lignes Aeriennes Latecoere,Breguet 14,2,2,0,,,
6/25/25,"Landr????cies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4,4,0,,,
6/26/25,"Alicante, Spain",Grands Express Aeriens,Lior????-et-Olivier H-13,2,2,0,,,
7/20/25,"Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,1,1,0,,,
7/24/25,"Budapest, Hungary",CIDNA,Potez IX,1,1,0,,,
