school_ID,School,State,School Type,subsidized_count,subsidized_amt,unsubsidized_count,unsubsidized_amt,academic_yr,academic_q
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,Public,388,368722,372,487888,2014_2015,4
100300,FAULKNER UNIVERSITY,AL,Private-Nonprofit,1732,2152073,1720,2407166,2014_2015,4
100400,UNIVERSITY OF MONTEVALLO,AL,Public,68,139080,56,143321,2014_2015,4
100500,ALABAMA STATE UNIVERSITY,AL,Public,989,987479,816,655653,2014_2015,4
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,Public,243,315397,246,287339,2014_2015,4
100800,ATHENS STATE UNIVERSITY,AL,Public,405,876970,393,1084787,2014_2015,4
100900,AUBURN UNIVERSITY,AL,Public,750,1616118,540,1372944,2014_2015,4
101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,Private-Nonprofit,13,22775,13,23021,2014_2015,4
101300,CALHOUN COMMUNITY COLLEGE,AL,Public,526,661612,450,687003,2014_2015,4
101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,Public,213,227903,124,157178,2014_2015,4
101600,UNIVERSITY OF NORTH ALABAMA,AL,Public,246,322678,176,307404,2014_2015,4
101900,HUNTINGDON COLLEGE,AL,Private-Nonprofit,171,315882,163,440102,2014_2015,4
102000,JACKSONVILLE STATE UNIVERSITY,AL,Public,177,439822,189,640009,2014_2015,4
102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,Public,698,735336,457,466631,2014_2015,4
102300,JUDSON COLLEGE,AL,Private-Nonprofit,55,53491,57,82146,2014_2015,4
102400,UNIVERSITY OF WEST ALABAMA,AL,Public,176,245119,176,300343,2014_2015,4
102800,MILES COLLEGE,AL,Private-Nonprofit,288,248134,316,347759,2014_2015,4
102900,UNIVERSITY OF MOBILE,AL,Private-Nonprofit,195,268504,230,415000,2014_2015,4
103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,Public,132,91475,89,72864,2014_2015,4
103300,OAKWOOD UNIVERSITY,AL,Private-Nonprofit,164,245903,237,429976,2014_2015,4
103600,SAMFORD UNIVERSITY,AL,Private-Nonprofit,17,43037,26,88430,2014_2015,4
103800,SNEAD STATE COMMUNITY COLLEGE,AL,Public,174,165764,120,107712,2014_2015,4
104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,Public,392,377043,314,330187,2014_2015,4
104100,SPRING HILL COLLEGE,AL,Private-Nonprofit,33,79478,43,96819,2014_2015,4
104400,STILLMAN COLLEGE,AL,Private-Nonprofit,93,145011,67,115576,2014_2015,4
104600,TALLADEGA COLLEGE,AL,Private-Nonprofit,103,120697,69,95870,2014_2015,4
104700,TROY UNIVERSITY,AL,Public,1892,2622325,1758,2935627,2014_2015,4
105000,TUSKEGEE UNIVERSITY,AL,Private-Nonprofit,194,220976,218,368228,2014_2015,4
105100,UNIVERSITY OF ALABAMA,AL,Public,730,1366338,695,1683179,2014_2015,4
105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,Public,865,1845654,870,2254695,2014_2015,4
105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,Public,186,425050,204,598811,2014_2015,4
