Year Type,Year,Organization Group Code,Organization Group,Department,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
Fiscal,2007,6,General Administration & Finance,RET Retirement System,Administrative & Mgmt (Unrep),Chief Investment Officer,533985.94,0,0,533985.94,95600,13765.55,25060.92,134426.47,668412.41
Fiscal,2004,6,General Administration & Finance,RET Retirement System,Administrative & Mgmt (Unrep),Chief Investment Officer,515101.8,0,0,515101.8,101306.01,13175.97,24021.54,138503.52,653605.32
Fiscal,1994,6,General Administration & Finance,RET Retirement System,,Managing Director,420076.62,0,0,420076.62,75146.6,13765.55,23701.87,112614.02,532690.64
Fiscal,1998,4,Community Health,DPH Public Health,Y,"Physician Administrator, DPH",418016.62,0,0,418016.62,74197.99,13185.38,33391.73,120775.1,538791.72
Fiscal,2017,6,General Administration & Finance,ADM Gen Svcs Agency-City Admin,Med Therapy & Auxiliary,Asst Med Examiner,276342.28,6759.31,126791.03,409892.62,60629.45,12501.45,14482.37,87613.27,497505.89
Fiscal,1994,1,Public Protection,POL Police,Management,Chief Of Police,292450.12,0,100271.38,392721.5,54680.78,11667.28,7823.55,74171.61,466893.11
Fiscal,2009,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",147998.68,51965.62,181752.53,381716.83,30522.41,12903.39,488.89,43914.69,425631.52
Fiscal,2006,6,General Administration & Finance,RET Retirement System,Administrative & Mgmt (Unrep),Chief Investment Officer,379201.7,0,0,379201.7,82274.98,12501.46,21743.36,116519.8,495721.5
Fiscal,2003,6,General Administration & Finance,ADM Gen Svcs Agency-City Admin,Med Therapy & Auxiliary,Asst Med Examiner,276342.26,12983.83,83890.91,373217,60629.42,12501.45,13924.34,87055.21,460272.21
Fiscal,2005,1,Public Protection,POL Police,Police Services,Deputy Chief 3,191142.01,0,181495.74,372637.75,41288.85,8872,2521.57,52682.42,425320.17
Fiscal,1996,1,Public Protection,POL Police,Police Services,Deputy Chief 3,221104.83,0,145382.37,366487.2,48542.91,10250.24,12879.09,71672.24,438159.44
Fiscal,2011,1,Public Protection,FIR Fire Department,Fire Services,Asst Chf Of Dept (Fire Dept),120562.06,0,244899.02,365461.08,23407.1,9203.07,99.8,32709.97,398171.05
Fiscal,2002,1,Public Protection,SHF Sheriff,Correction & Detention,Sheriff's Lieutenant,138857.48,188937.79,36015.95,363811.22,44110.34,13169.49,6233.03,63512.86,427324.08
Fiscal,1994,4,Community Health,DPH Public Health,Medical & Dental,Senior Physician Specialist,243095.4,0,115634.31,358729.71,49621.84,13765.55,14423.4,77810.79,436540.5
Fiscal,1995,2,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,Street Transit,Transit Operator,355340.57,1892.17,748.29,357981.03,93356.58,11788.59,16041,121186.17,479167.2
Fiscal,2001,1,Public Protection,SHF Sheriff,Correction & Detention,Deputy Sheriff,100724.07,227313.62,23729.64,351767.33,31337.41,13175.97,6030.96,50544.34,402311.67
Fiscal,2006,6,General Administration & Finance,ADM Gen Svcs Agency-City Admin,Med Therapy & Auxiliary,Asst Med Examiner,267141.01,17556.04,66844.84,351541.89,55618.73,12516.72,13422.75,81558.2,433100.09
