period,respondent-name,type-name,value,value-units
2023-01-07T00,NorthWestern Corporation,Wind,114,megawatthours
2023-01-07T00,Southwest,Natural gas,5060,megawatthours
2023-01-07T00,Balancing Authority of Northern California,Hydro,702,megawatthours
2023-01-07T00,"Alcoa Power Generating, Inc. - Yadkin Division",Hydro,174,megawatthours
2023-01-07T00,South Carolina Public Service Authority,Coal,1140,megawatthours
2023-01-07T00,Balancing Authority of Northern California,Natural gas,563,megawatthours
2023-01-07T00,Southeast,Other,349,megawatthours
2023-01-07T00,Tennessee Valley Authority,Petroleum,0,megawatthours
2023-01-07T00,Southeast,Hydro,2791,megawatthours
2023-01-07T00,Southwest Power Pool,Nuclear,1987,megawatthours
2023-01-07T00,Southeast,Nuclear,5858,megawatthours
2023-01-07T00,ISO New England,Wind,10,megawatthours
2023-01-07T00,Louisville Gas and Electric Company and Kentucky Utilities Company,Hydro,16,megawatthours
2023-01-07T00,"Arlington Valley, LLC",Natural gas,-3,megawatthours
2023-01-07T00,Portland General Electric Company,Natural gas,815,megawatthours
2023-01-07T00,Tennessee,Petroleum,0,megawatthours
2023-01-07T00,PacifiCorp West,Other,41,megawatthours
2023-01-07T00,New York,Natural gas,7739,megawatthours
2023-01-07T00,Texas,Nuclear,5111,megawatthours
2023-01-07T00,PUD No. 1 of Douglas County,Hydro,463,megawatthours
2023-01-07T00,Tennessee,Wind,0,megawatthours
2023-01-07T00,New York Independent System Operator,Petroleum,327,megawatthours
2023-01-07T00,Duke Energy Progress East,Natural gas,2301,megawatthours
2023-01-07T00,Public Service Company of New Mexico,Hydro,0,megawatthours
2023-01-07T00,Southwest Power Pool,Wind,13142,megawatthours
2023-01-07T00,Duke Energy Progress West,Solar,8,megawatthours
2023-01-07T00,Duke Energy Progress East,Hydro,64,megawatthours
2023-01-07T00,Salt River Project Agricultural Improvement and Power District,Coal,236,megawatthours
2023-01-07T00,Tennessee,Coal,2087,megawatthours
2023-01-07T00,Idaho Power Company,Natural gas,491,megawatthours
2023-01-07T00,"Southern Company Services, Inc. - Trans",Nuclear,5858,megawatthours
2023-01-07T00,Nevada Power Company,Hydro,4,megawatthours
2023-01-07T00,"Duke Energy Florida, Inc.",Other,90,megawatthours
2023-01-07T00,Duke Energy Carolinas,Nuclear,7384,megawatthours
2023-01-07T00,Florida Power & Light Co.,Solar,38,megawatthours
2023-01-07T00,Balancing Authority of Northern California,Solar,33,megawatthours
2023-01-07T00,Mid-Atlantic,Wind,1152,megawatthours
2023-01-07T00,Tennessee,Natural gas,5897,megawatthours
2023-01-07T00,Los Angeles Department of Water and Power,Natural gas,513,megawatthours
2023-01-07T00,Duke Energy Carolinas,Solar,-2,megawatthours
2023-01-07T00,Salt River Project Agricultural Improvement and Power District,Nuclear,4008,megawatthours
2023-01-07T00,Southeast,Natural gas,13757,megawatthours
2023-01-07T00,Midwest,Nuclear,11599,megawatthours
2023-01-07T00,Mid-Atlantic,Hydro,4630,megawatthours
2023-01-07T00,California Independent System Operator,Natural gas,9488,megawatthours
2023-01-07T00,City of Tallahassee,Natural gas,372,megawatthours
2023-01-07T00,PacifiCorp West,Natural gas,0,megawatthours
2023-01-07T00,Western Area Power Administration - Rocky Mountain Region,Hydro,627,megawatthours
2023-01-07T00,"Puget Sound Energy, Inc.",Coal,0,megawatthours
2023-01-07T00,Florida Power & Light Co.,Other,2723,megawatthours
2023-01-07T00,NorthWestern Corporation,Hydro,392,megawatthours
2023-01-07T00,Western Area Power Administration - Desert Southwest Region,Wind,33,megawatthours
2023-01-07T00,Duke Energy Carolinas,Hydro,1309,megawatthours
2023-01-07T00,New York Independent System Operator,Hydro,3415,megawatthours
2023-01-07T00,PacifiCorp West,Wind,11,megawatthours
2023-01-07T00,South Carolina Public Service Authority,Solar,-1,megawatthours
2023-01-07T00,Texas,Other,223,megawatthours
2023-01-07T00,United States Lower 48,Natural gas,189551,megawatthours
2023-01-07T00,Northwest,Hydro,14181,megawatthours
2023-01-07T00,Duke Energy Progress East,Solar,8,megawatthours
2023-01-07T00,"NaturEner Wind Watch, LLC",Wind,147,megawatthours
2023-01-07T00,Florida,Solar,39,megawatthours
2023-01-07T00,California Independent System Operator,Petroleum,82,megawatthours
2023-01-07T00,United States Lower 48,Hydro,37810,megawatthours
2023-01-07T00,Idaho Power Company,Hydro,552,megawatthours
2023-01-07T00,Midwest,Coal,31958,megawatthours
2023-01-07T00,Southwest,Wind,1845,megawatthours
2023-01-07T00,"PJM Interconnection, LLC",Solar,32,megawatthours
2023-01-07T00,Duke Energy Progress East,Nuclear,3641,megawatthours
2023-01-07T00,Public Service Company of New Mexico,Solar,72,megawatthours
2023-01-07T00,New England,Nuclear,3399,megawatthours
