Country Name,GDP_2021,Life_Expectancy_2021,Population_2021
Aruba,29342.10073,74.626,106537
Afghanistan,363.6740871,61.982,40099462
Angola,1903.717405,61.643,34503774
Albania,6377.203096,76.463,2811666
Andorra,42072.3411,,79034
United Arab Emirates,44315.55418,78.71,9365145
Argentina,10636.11553,75.39,45808747
Armenia,4966.513471,72.043,2790974
American Samoa,15743.31076,,45035
Antigua and Barbuda,16740.3482,78.497,93219
Australia,60444.50236,83.3,25688079
Austria,53637.70571,81.23902439,8955797
Azerbaijan,5408.045352,69.366,10137750
Burundi,221.1578034,61.663,12551213
Belgium,51268.38804,81.8902439,11592952
Benin,1361.100749,59.821,12996895
Burkina Faso,893.077196,59.27,22100683
Bangladesh,2457.924049,72.381,169356251
Bulgaria,12222.23565,71.51463415,6877743
Bahrain,26860.0725,78.76,1463265
"Bahamas, The",28260.43255,71.598,407906
Bosnia and Herzegovina,7230.198163,75.3,3270943
Belarus,7489.718947,72.37068293,9302585
Belize,6228.267309,70.47,400031
Bermuda,111774.6691,79.28,63764
Bolivia,3345.196588,63.63,12079472
Brazil,7696.785531,72.75,214326223
Barbados,17225.4623,77.571,281200
Brunei Darussalam,31448.91361,74.642,445373
Bhutan,3266.362774,71.815,777486
Botswana,7238.796096,61.141,2588423
Central African Republic,461.1375109,53.895,5457154
Canada,52358.62164,82.59660976,38226498
Switzerland,91991.60046,83.85121951,8703405
Channel Islands,67960.727,81.232,172683
Chile,16247.40102,78.944,19493184
China,12617.50499,78.211,1412360000
Cote d'Ivoire,2613.378893,58.598,27478249
Cameroon,1666.932809,60.333,27198628
"Congo, Dem. Rep.",577.2092152,59.193,95894118
"Congo, Rep.",2290.382994,63.519,5835806
Colombia,6182.707099,72.83,51516562
Comoros,1577.470841,63.417,821625
Cabo Verde,3557.837775,74.052,587925
Costa Rica,12537.25675,77.023,5153957
Caribbean small states,10114.14684,70.99625867,7481877
Cuba,,73.683,11256372
Curacao,17717.59648,,152369
Cayman Islands,88475.60088,,68136
Cyprus,31552.03516,81.203,1244188
Czechia,26822.51419,77.37317073,10505772
Germany,51203.55447,80.90097561,83196078
Djibouti,3050.306282,62.305,1105557
Dominica,7668.158132,72.814,72412
Denmark,68007.75667,81.40487805,5856733
Dominican Republic,8476.749688,72.615,11117873
Algeria,3700.311195,76.377,44177969
Ecuador,5965.132871,73.67,17797737
"Egypt, Arab Rep.",3886.722498,70.221,109262178
Eritrea,,66.536,3620312
Spain,30103.51373,83.17804878,47415750
Estonia,27943.70122,76.74146341,1330932
Ethiopia,925.0006972,64.975,120283026
Finland,53489.75202,81.93414634,5541017
Fiji,4646.537921,67.114,924610
France,43658.97898,82.32439024,67749632
Faroe Islands,69010.1662,83.49756098,52889
"Micronesia, Fed. Sts.",3571.336769,70.71,113131
Gabon,8635.797144,65.821,2341179
United Kingdom,46585.89756,80.7,67026300
Georgia,5023.274384,71.694,3708610
Ghana,2410.877309,63.795,32833031
Gibraltar,,79.329,32669
Guinea,1189.175999,58.892,13531906
"Gambia, The",772.1514524,62.083,2639916
Guinea-Bissau,795.118605,59.652,2060721
Equatorial Guinea,7506.667861,60.594,1634466
Greece,20192.5963,80.18292683,10641221
Grenada,9010.5128,74.936,124610
Greenland,57116.41387,71.14756098,56653
Guatemala,5029.477338,69.237,17109746
Guam,35904.86355,76.656,170534
Guyana,9998.544311,65.673,804567
"Hong Kong SAR, China",49764.79312,85.49268293,7413100
Honduras,2771.722616,70.123,10278345
Croatia,17747.78929,76.42439024,3879000
Haiti,1823.742224,63.192,11447569
Hungary,18772.14111,74.46585366,9709891
Indonesia,4334.215983,67.57,273753191
Isle of Man,,80.525,84263
India,2238.127139,67.24,1407563842
Ireland,100172.0793,82.10243902,5033165
"Iran, Islamic Rep.",4084.200305,73.875,87923432
Iraq,4770.835343,70.378,43533592
Iceland,68594.0081,83.11707317,372520
Israel,52166.81216,82.5,9364700
Italy,35770.04961,82.79512195,59109668
Jamaica,5183.5811,70.5,2827695
Jordan,4046.931467,74.256,11148278
Japan,39827.12677,84.44560976,125681593
Kazakhstan,10373.78979,70.23,19000988
Kenya,2069.661137,61.427,53005614
Kyrgyz Republic,1306.177992,71.9,6691800
Cambodia,1625.235022,69.584,16589023
Kiribati,1766.143945,67.417,128874
St. Kitts and Nevis,18082.68799,71.682,47606
"Korea, Rep.",34997.78164,83.52682927,51744876
Kuwait,32186.76541,78.673,4250114
Lao PDR,2535.623434,68.061,7425057
Lebanon,4136.146575,75.047,5592631
Liberia,675.6631858,60.747,5193416
Libya,5908.951323,71.911,6735277
St. Lucia,9414.137741,71.111,179651
Liechtenstein,184083.3214,84.40243902,39039
Sri Lanka,3994.246958,76.399,22156000
Lesotho,1040.308623,53.062,2281454
Lithuania,23712.53578,74.33902439,2800839
Luxembourg,133590.147,82.74878049,640064
Latvia,21080.17745,73.28292683,1884490
"Macao SAR, China",43873.41716,85.399,686607
St. Martin (French part),,80.379,31948
Morocco,3795.386963,74.042,37076584
Monaco,234317.0848,,36686
Moldova,5235.636044,68.846,2615199
Madagascar,503.3520811,64.485,28915653
Maldives,10366.25678,79.918,521457
Mexico,10045.67637,70.213,126705138
Marshall Islands,6172.145065,65.269,42050
North Macedonia,6694.641126,74.53682927,2065092
Mali,881.5100886,58.941,21904983
Malta,34218.21474,82.86097561,518536
Myanmar,1210.540688,65.672,53798084
Montenegro,9465.966408,73.82439024,619211
Mongolia,4566.140131,70.975,3347782
Northern Mariana Islands,,,49481
Mozambique,491.8390749,59.325,32077072
Mauritania,2166.044797,64.364,4614974
Mauritius,9062.722476,73.6802439,1266334
Malawi,633.6097333,62.904,19889742
Malaysia,11109.26529,74.884,33573874
Namibia,4919.188955,59.269,2530151
New Caledonia,36668.42535,79.12734146,274660
Niger,590.6294814,61.576,25252722
Nigeria,2065.749068,52.676,213401323
Nicaragua,2064.925116,73.837,6850540
Netherlands,57708.11121,81.46097561,17533044
Norway,90655.39102,83.16341463,5408320
Nepal,1229.394205,68.45,30034989
Nauru,11632.69149,63.617,12511
New Zealand,49996.42067,82.20731707,5111400
Oman,19509.46646,72.541,4520471
Pakistan,1505.010193,66.098,231402117
Panama,15491.28979,76.223,4351267
Peru,6635.463923,72.377,33715471
Philippines,3460.539401,69.266,113880328
Palau,12083.88815,,18024
Papua New Guinea,2644.537173,65.351,9949437
Poland,17999.83227,75.60243902,37747124
Puerto Rico,32601.56564,80.162,3262693
"Korea, Dem. People's Rep.",,73.284,25971909
Portugal,24598.47279,81.07317073,10325147
Paraguay,5959.441763,70.262,6703799
West Bank and Gaza,3678.635657,73.473,4922749
Pacific island small states,3641.558247,69.16359418,2602173
French Polynesia,19999.07676,79.486,304032
Qatar,66838.32764,79.272,2688235
Romania,14927.11686,72.96097561,19119880
Russian Federation,12593.15723,69.36121951,143449286
Rwanda,821.2281941,66.072,13461888
South Asia,2136.15806,67.57912905,1901911604
Saudi Arabia,24160.67605,76.936,35950396
Sudan,749.7067871,65.267,45657202
Senegal,1633.560119,67.093,16876720
Singapore,77710.06996,83.44146341,5453566
Solomon Islands,2232.536956,70.348,707851
Sierra Leone,504.6212722,60.062,8420641
El Salvador,4664.311223,70.748,6314167
San Marino,54982.45172,,33745
Somalia,446.9815596,55.28,17065581
Serbia,9230.174447,72.73073171,6834326
South Sudan,,54.975,10748272
Sao Tome and Principe,2360.543554,67.591,223107
Suriname,4869.134226,70.274,612985
Slovak Republic,21782.85507,74.71463415,5447247
Slovenia,29291.40062,80.87560976,2108079
Sweden,61143.22124,83.15609756,10415811
