Incident Date,State,City Or County,Address,# Killed,# Injured
12/31/16,Texas,Houston,3704 Fannin Street,1,3
12/31/16,Georgia,Lenox (El Dorado),Briarwood Court,2,2
12/30/16,Ohio,Mansfield,3230 Possum Run Rd,0,5
12/30/16,Connecticut,Wallingford,95 S Turnpike Road,2,2
12/28/16,Georgia,Columbus,2914 10th Street,1,4
12/25/16,Alabama,Ozark,858 US-231,0,4
12/25/16,Illinois,Chicago,8600 block of South Maryland Avenue,3,4
12/25/16,New York,Mount Vernon,4 North 3rd Avenue,1,5
12/24/16,North Carolina,Madison,490 K Ford Road,0,7
12/24/16,North Carolina,Wilson,2241 Banks Lane East,4,0
12/23/16,Alabama,Birmingham,3813 Richard Arrington Boulevard North,1,3
12/23/16,Illinois,Chicago,4900 block of West Hubbard,0,4
12/17/16,North Carolina,Charlotte,4115 N. Tryon Street,0,4
12/17/16,Illinois,Chicago (Roseland),100 block of West 105th Street,4,1
12/16/16,Illinois,Chicago,4300 block of South Rockwell,2,2
12/16/16,Illinois,Chicago,13th and South Kedzie,0,4
12/12/16,California,Sacramento,4800 block of Myrtle Avenue,1,3
12/11/16,Florida,Orlando (Pine Hills),4305 N Pine Hills Rd,1,4
12/11/16,Maryland,Baltimore,3916 South Hanover Street,0,5
12/11/16,New York,Brooklyn,Knickerbocker Ave.,0,4
12/11/16,North Carolina,Rocky Mount,1200 block of East Highland Ave,0,4
12/9/16,Texas,Channelview,15300 block of Market,4,0
12/9/16,California,Fresno,842 Fresno Street,0,4
12/5/16,New Mexico,Albuquerque,1532 Stagecoach Lane,4,1
12/3/16,California,Los Angeles,91st Street and Western Avenue,0,6
12/2/16,New Jersey,Bloomfield,3 1st Ave,0,6
12/1/16,California,Clearlake Oaks,N/A,1,3
11/30/16,Maryland,Baltimore,2901 Garrison Blvd,2,4
11/28/16,Texas,Mission (Palmview),1840 West Palma Vista Drive,1,3
11/28/16,California,Wilmington,1067 McDonald Avenue,0,4
11/28/16,California,San Pedro,300 block of West 2nd Street,0,4
11/27/16,Louisiana,New Orleans,100 block of Bourbon Street,1,9
11/27/16,Missouri,Kansas City,Gregory and Prospect,0,7
11/26/16,Illinois,Chicago,8800 block of South Exchange Avenue,1,5
11/25/16,Louisiana,New Orleans,Magnolia Street and Felicity Street,0,4
11/24/16,Kentucky,Louisville,4501 W Broadway,2,5
11/24/16,New York,Albany,77 Central Avenue,1,3
11/23/16,Mississippi,Olive Branch,928 Cross Road,0,4
11/22/16,Florida,Clewiston,1068 Harlem Academy Avenue,1,4
11/18/16,Illinois,Chicago,5000 block of West Wabansia,0,4
11/17/16,Tennessee,Dyersburg,160 Longfellow,1,7
11/13/16,Florida,Jacksonville,5105 Cleveland Rd,3,2
11/13/16,California,San Diego,3800 block of Marlborough Avenue,3,2
11/13/16,Florida,Orlando,Conley Street and South Ivey Lane,0,4
11/13/16,Texas,San Antonio,8000 Midcrown,0,4
11/12/16,California,Sacramento,8600 block of Ardith Drive,1,5
11/12/16,Missouri,Kansas City,21st Street and Cleveland Avenue,1,3
11/12/16,Connecticut,Bridgeport,2500 Park Avenue,0,5
11/11/16,Texas,Houston,7705 Channelside Street,0,4
11/10/16,Texas,Houston,N/A,1,3
11/9/16,Washington,Seattle,1524 3rd Ave,0,5
11/9/16,Illinois,Chicago,3400 block of West Monroe,1,3
11/9/16,Tennessee,Memphis,1800 block of East Brooks Road,0,4
11/5/16,Florida,Fort Lauderdale (Lauderhill),3135 West Broward Boulevard,1,3
