FY,EMPL,Tax ID,PS,PC,PZ,WS,OCC,Ind,Wage
2020,,768,KY,Mc Daniels,40152,KY,45,11,$12.00 - $13.99
2020,,1272,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,2243,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,5734,TX,Weston,75097,TX,45,11,$12.00 - $13.99
2020,,3232,KY,Mayfield,42066,KY,45,11,$12.00 - $13.99
2020,,7084,KY,Woodburn,42170,KY,45,11,$12.00 - $13.99
2020,,3448,KY,Guthrie,42234,KY,45,11,$12.00 - $13.99
2020,,499,TN,Martin,38237,TN,45,11,$12.00 - $13.99
2020,,4051,ID,Declo,83323,ID,45,11,$12.00 - $13.99
2020,,5923,LA,Iota,70543,LA,45,11,$10.00 - $11.99
2020,,5923,NC,Henderson,27536,LA,45,11,$10.00 - $11.99
2020,,6000,ND,Chaseley,58423,ND,45,11,$14.00 - $15.99
2020,,7120,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,2443,NC,Seven Springs,28578,NC,45,11,$12.00 - $13.99
2020,,1704,MT,Havre,59501,MT,45,11,$12.00 - $13.99
2020,,4652,GA,Jesup,31545,GA,45,11,$10.00 - $11.99
2020,,7983,KY,Lexington,40508,KY,45,11,$10.00 - $11.99
2020,,164,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3779,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,8379,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,613,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,7119,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8887,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8887,KY,Lexington,40508,,,,
2020,,6230,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8659,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7091,KY,Munfordville,42765,KY,45,11,$12.00 - $13.99
2020,,2338,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,4576,OK,Tulsa,74132,ND,45,11,$14.00 - $15.99
2020,,6850,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8523,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,9757,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7586,KY,Mayfield,42066,KY,45,11,$12.00 - $13.99
2020,,9684,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,2198,KY,La Center,42056,KY,45,11,$12.00 - $13.99
2020,,4667,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,185,MT,Lewistown,59457,SD,45,11,$14.00 - $15.99
2020,,7688,LA,Welsh,70591,LA,45,11,$10.00 - $11.99
2020,,2216,LA,Kinder,70648,LA,45,11,$10.00 - $11.99
2020,,2862,KY,Lexington,40508,KY,45,11,$10.00 - $11.99
2020,,5025,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,2945,KY,Lexington,40508,KY,45,11,$10.00 - $11.99
2020,,8513,OK,Tulsa,74132,MN,45,11,$14.00 - $15.99
2020,,9596,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,9087,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,1814,ID,Firth,83236,ID,45,11,$12.00 - $13.99
2020,,4128,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7955,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8434,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,1555,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3398,KY,Mayfield,42066,KY,45,11,$12.00 - $13.99
2020,,142,KY,Falmouth,41040,KY,45,11,$12.00 - $13.99
2020,,142,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3078,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,898,KY,Lexington,40508,KY,45,11,$10.00 - $11.99
2020,,886,ND,Wimbledon,58492,ND,45,11,$14.00 - $15.99
2020,,886,OK,Tulsa,74132,ND,45,11,$14.00 - $15.99
2020,,2134,KY,Lexington,40503,KY,45,11,$12.00 - $13.99
2020,,4558,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,1810,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,8162,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6428,MT,Hardin,59034,MT,45,11,$12.00 - $13.99
2020,,7143,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,9085,KY,Cave City,42127,KY,45,11,$12.00 - $13.99
2020,,9085,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,5601,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6878,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,1105,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,4932,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,9801,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3938,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,4478,OK,Tulsa,74132,WI,45,11,$14.00 - $15.99
2020,,6764,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6622,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,9991,LA,Elton,70532,LA,45,11,$10.00 - $11.99
2020,,6518,ND,Chaseley,58423,ND,45,11,$14.00 - $15.99
2020,,877,TN,Sevierville,37862,ND,45,11,$14.00 - $15.99
2020,,4545,OK,Tulsa,74132,ND,45,11,$14.00 - $15.99
2020,,9570,TX,Hondo,78861,TX,45,11,$12.00 - $13.99
2020,,2879,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,9407,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6657,OK,Tulsa,74132,ND,45,11,$14.00 - $15.99
2020,,3979,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8782,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,509,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7937,KY,Bloomfield,40008,KY,45,11,$12.00 - $13.99
2020,,7937,KY,Greensburg,42743,KY,45,11,$12.00 - $13.99
2020,,3027,KY,Benton,42025,KY,45,11,$12.00 - $13.99
2020,,9998,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3188,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,8274,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8274,KY,Lexington,40508,,,,
2020,,2833,KY,Yosemite,42566,KY,45,11,$12.00 - $13.99
2020,,7898,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,8101,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,5268,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,5206,KY,Berry,41003,KY,45,11,$12.00 - $13.99
2020,,5206,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6249,ID,Idaho Falls,83401,ID,45,11,$12.00 - $13.99
2020,,7825,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8225,KY,Lexington,40508,KY,45,11,$10.00 - $11.99
2020,,5012,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3865,KY,Lexington,40503,KY,45,11,$12.00 - $13.99
2020,,9061,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3796,CA,Vacaville,95687,CA,45,11,$10.00 - $11.99
2020,,3796,WY,Casper,82601,CA,45,11,$12.00 - $13.99
2020,,2390,MT,Lewistown,59457,UT,45,11,$9.99 and under
2020,,3184,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,257,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,1728,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7937,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,1832,KY,Lexington,40503,TN,45,11,$12.00 - $13.99
2020,,3199,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6448,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,5080,KY,Fulton,42041,KY,45,11,$12.00 - $13.99
2020,,6478,KY,Murray,42071,KY,45,11,$12.00 - $13.99
2020,,3531,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
