ISIN,Security Description,Indicate Value Of Aggregate Holding Of FPIS (INR Cr),source_file,date
IN0020240050,07.04 GS 2029,8322.488,CCIL 09-27-2024.xls,2024-09-27
IN0020230085,07.18 GS 2033,31552.279,CCIL 09-27-2024.xls,2024-09-27
IN0020220037,07.38 GS 2027,14451.548,CCIL 09-27-2024.xls,2024-09-27
IN0020210186,05.74 GS 2026,6555.735,CCIL 09-27-2024.xls,2024-09-27
IN0020230010,07.06 GS 2028,11323.464,CCIL 09-27-2024.xls,2024-09-27
IN0020210012,05.63 GS 2026,13694.25,CCIL 09-27-2024.xls,2024-09-27
IN0020230101,07.37 GS 2028,6988.166,CCIL 09-27-2024.xls,2024-09-27
IN0020200112,05.22 GS 2025,9689.026,CCIL 09-27-2024.xls,2024-09-27
IN0020240076,07.02 GS 2031,3775.826,CCIL 09-27-2024.xls,2024-09-27
IN0020230077,07.18 GS 2037,14651.351,CCIL 09-27-2024.xls,2024-09-27
IN0020230135,07.32 GS 2030,5907.589,CCIL 09-27-2024.xls,2024-09-27
IN0020220060,07.26 GS 2032,9727.218,CCIL 09-27-2024.xls,2024-09-27
IN0020220011,07.10 GS 2029,10372.702,CCIL 09-27-2024.xls,2024-09-27
IN0020240019,07.10 GS 2034,10858.66,CCIL 09-27-2024.xls,2024-09-27
IN0020220102,07.41 GS 2036,8827.806,CCIL 09-27-2024.xls,2024-09-27
IN0020230051,07.30 GS 2053,10779.534,CCIL 09-27-2024.xls,2024-09-27
IN0020230036,07.17 GS 2030,5302.708,CCIL 09-27-2024.xls,2024-09-27
IN0020180454,07.26 GS 2029,6612.392,CCIL 09-27-2024.xls,2024-09-27
IN0020210244,06.54 GS 2032,7739.989,CCIL 09-27-2024.xls,2024-09-27
IN0020220151,07.26 GS 2033,6476.332,CCIL 09-27-2024.xls,2024-09-27
IN0020200153,05.77 GS 2030,5173.085,CCIL 09-27-2024.xls,2024-09-27
IN0020210095,06.10 GS 2031,5800.931,CCIL 09-27-2024.xls,2024-09-27
IN0020190362,06.45 GS 2029,4174.221,CCIL 09-27-2024.xls,2024-09-27
IN0020220144,07.29 GOI SGRB 2033,274.26,CCIL 09-27-2024.xls,2024-09-27
IN0020220029,07.54 GS 2036,5054.773,CCIL 09-27-2024.xls,2024-09-27
IN0020200252,06.67 GS 2050,3889.329,CCIL 09-27-2024.xls,2024-09-27
IN0020190396,06.18 GS 2024,1998.589,CCIL 09-27-2024.xls,2024-09-27
IN0020200070,05.79 GS 2030,2832.465,CCIL 09-27-2024.xls,2024-09-27
IN0020200278,05.15 GS 2025,2448.348,CCIL 09-27-2024.xls,2024-09-27
IN0020200294,05.85 GS 2030,2551.92,CCIL 09-27-2024.xls,2024-09-27
IN0020210194,06.99 GS 2051,2667.806,CCIL 09-27-2024.xls,2024-09-27
IN0020220086,07.36 GS 2052,2787.202,CCIL 09-27-2024.xls,2024-09-27
IN0020230150,07.24 GOI SGRB 2033,84.0,CCIL 09-27-2024.xls,2024-09-27
IN0020220136,07.10 GOI SGRB 2028,120.555,CCIL 09-27-2024.xls,2024-09-27
IN0020230143,07.25 GOI SGRB 2028,66.33,CCIL 09-27-2024.xls,2024-09-27
IN0020190032,07.72 GS 2049,978.074,CCIL 09-27-2024.xls,2024-09-27
IN0020200054,07.16 GS 2050,1092.605,CCIL 09-27-2024.xls,2024-09-27
IN0020230176,07.37 GOI SGRB 2054,11.582,CCIL 09-27-2024.xls,2024-09-27
IN0020230085,07.18 GS 2033,32174.284,CCIL 10-04-2024.xls,2024-10-04
IN0020240050,07.04 GS 2029,9030.89,CCIL 10-04-2024.xls,2024-10-04
IN0020220037,07.38 GS 2027,15137.582,CCIL 10-04-2024.xls,2024-10-04
IN0020210186,05.74 GS 2026,6555.735,CCIL 10-04-2024.xls,2024-10-04
IN0020230010,07.06 GS 2028,10597.299,CCIL 10-04-2024.xls,2024-10-04
IN0020200112,05.22 GS 2025,10652.546,CCIL 10-04-2024.xls,2024-10-04
IN0020210012,05.63 GS 2026,13151.3,CCIL 10-04-2024.xls,2024-10-04
IN0020230101,07.37 GS 2028,7009.561,CCIL 10-04-2024.xls,2024-10-04
IN0020240076,07.02 GS 2031,3962.787,CCIL 10-04-2024.xls,2024-10-04
IN0020230077,07.18 GS 2037,14916.794,CCIL 10-04-2024.xls,2024-10-04
IN0020230135,07.32 GS 2030,5663.592,CCIL 10-04-2024.xls,2024-10-04
IN0020220060,07.26 GS 2032,10197.08,CCIL 10-04-2024.xls,2024-10-04
IN0020220011,07.10 GS 2029,10059.182,CCIL 10-04-2024.xls,2024-10-04
IN0020240019,07.10 GS 2034,11351.817,CCIL 10-04-2024.xls,2024-10-04
IN0020220102,07.41 GS 2036,8915.824,CCIL 10-04-2024.xls,2024-10-04
IN0020230051,07.30 GS 2053,10708.975,CCIL 10-04-2024.xls,2024-10-04
IN0020210244,06.54 GS 2032,8259.842,CCIL 10-04-2024.xls,2024-10-04
IN0020220144,07.29 GOI SGRB 2033,416.26,CCIL 10-04-2024.xls,2024-10-04
IN0020180454,07.26 GS 2029,6798.856,CCIL 10-04-2024.xls,2024-10-04
IN0020230036,07.17 GS 2030,5090.932,CCIL 10-04-2024.xls,2024-10-04
IN0020220151,07.26 GS 2033,7325.304,CCIL 10-04-2024.xls,2024-10-04
IN0020200153,05.77 GS 2030,5239.249,CCIL 10-04-2024.xls,2024-10-04
IN0020210095,06.10 GS 2031,5899.391,CCIL 10-04-2024.xls,2024-10-04
IN0020190362,06.45 GS 2029,4133.539,CCIL 10-04-2024.xls,2024-10-04
IN0020220029,07.54 GS 2036,5117.574,CCIL 10-04-2024.xls,2024-10-04
IN0020200252,06.67 GS 2050,4021.085,CCIL 10-04-2024.xls,2024-10-04
IN0020200070,05.79 GS 2030,2886.215,CCIL 10-04-2024.xls,2024-10-04
IN0020190396,06.18 GS 2024,1998.589,CCIL 10-04-2024.xls,2024-10-04
IN0020200294,05.85 GS 2030,2676.493,CCIL 10-04-2024.xls,2024-10-04
IN0020200278,05.15 GS 2025,2454.348,CCIL 10-04-2024.xls,2024-10-04
IN0020220086,07.36 GS 2052,3050.832,CCIL 10-04-2024.xls,2024-10-04
IN0020210194,06.99 GS 2051,2678.95,CCIL 10-04-2024.xls,2024-10-04
IN0020230150,07.24 GOI SGRB 2033,84.0,CCIL 10-04-2024.xls,2024-10-04
IN0020220136,07.10 GOI SGRB 2028,115.96,CCIL 10-04-2024.xls,2024-10-04
IN0020190032,07.72 GS 2049,1039.524,CCIL 10-04-2024.xls,2024-10-04
IN0020200054,07.16 GS 2050,1127.08,CCIL 10-04-2024.xls,2024-10-04
IN0020230143,07.25 GOI SGRB 2028,37.86,CCIL 10-04-2024.xls,2024-10-04
IN0020230176,07.37 GOI SGRB 2054,31.582,CCIL 10-04-2024.xls,2024-10-04
IN0020240126,06.79 GS 2034,0.0,CCIL 10-04-2024.xls,2024-10-04
IN0020240050,07.04 GS 2029,10193.34,CCIL 10-11-2024.xls,2024-10-11
IN0020230085,07.18 GS 2033,29617.987,CCIL 10-11-2024.xls,2024-10-11
IN0020220037,07.38 GS 2027,15007.542,CCIL 10-11-2024.xls,2024-10-11
IN0020210186,05.74 GS 2026,6974.185,CCIL 10-11-2024.xls,2024-10-11
IN0020230010,07.06 GS 2028,11461.269,CCIL 10-11-2024.xls,2024-10-11
IN0020200112,05.22 GS 2025,10619.746,CCIL 10-11-2024.xls,2024-10-11
IN0020240076,07.02 GS 2031,4272.297,CCIL 10-11-2024.xls,2024-10-11
IN0020230101,07.37 GS 2028,6590.961,CCIL 10-11-2024.xls,2024-10-11
IN0020230077,07.18 GS 2037,14933.461,CCIL 10-11-2024.xls,2024-10-11
IN0020210012,05.63 GS 2026,11307.4,CCIL 10-11-2024.xls,2024-10-11
IN0020230135,07.32 GS 2030,5365.162,CCIL 10-11-2024.xls,2024-10-11
IN0020240019,07.10 GS 2034,12649.718,CCIL 10-11-2024.xls,2024-10-11
IN0020220060,07.26 GS 2032,10146.08,CCIL 10-11-2024.xls,2024-10-11
IN0020220011,07.10 GS 2029,9799.932,CCIL 10-11-2024.xls,2024-10-11
IN0020220102,07.41 GS 2036,8872.824,CCIL 10-11-2024.xls,2024-10-11
IN0020230051,07.30 GS 2053,10651.46,CCIL 10-11-2024.xls,2024-10-11
IN0020210244,06.54 GS 2032,8209.342,CCIL 10-11-2024.xls,2024-10-11
IN0020230036,07.17 GS 2030,5367.432,CCIL 10-11-2024.xls,2024-10-11
IN0020220144,07.29 GOI SGRB 2033,415.594,CCIL 10-11-2024.xls,2024-10-11
IN0020180454,07.26 GS 2029,6737.156,CCIL 10-11-2024.xls,2024-10-11
IN0020220151,07.26 GS 2033,7453.624,CCIL 10-11-2024.xls,2024-10-11
IN0020200153,05.77 GS 2030,5123.33,CCIL 10-11-2024.xls,2024-10-11
IN0020210095,06.10 GS 2031,6164.141,CCIL 10-11-2024.xls,2024-10-11
IN0020190362,06.45 GS 2029,4100.139,CCIL 10-11-2024.xls,2024-10-11
IN0020220029,07.54 GS 2036,5094.174,CCIL 10-11-2024.xls,2024-10-11
IN0020200252,06.67 GS 2050,3982.845,CCIL 10-11-2024.xls,2024-10-11
IN0020200070,05.79 GS 2030,2833.215,CCIL 10-11-2024.xls,2024-10-11
IN0020190396,06.18 GS 2024,1838.589,CCIL 10-11-2024.xls,2024-10-11
IN0020200278,05.15 GS 2025,2425.648,CCIL 10-11-2024.xls,2024-10-11
IN0020200294,05.85 GS 2030,2654.741,CCIL 10-11-2024.xls,2024-10-11
IN0020220086,07.36 GS 2052,2998.332,CCIL 10-11-2024.xls,2024-10-11
IN0020210194,06.99 GS 2051,2639.95,CCIL 10-11-2024.xls,2024-10-11
IN0020220136,07.10 GOI SGRB 2028,114.802,CCIL 10-11-2024.xls,2024-10-11
IN0020190032,07.72 GS 2049,1012.524,CCIL 10-11-2024.xls,2024-10-11
IN0020230150,07.24 GOI SGRB 2033,59.0,CCIL 10-11-2024.xls,2024-10-11
IN0020200054,07.16 GS 2050,1105.08,CCIL 10-11-2024.xls,2024-10-11
IN0020230143,07.25 GOI SGRB 2028,37.86,CCIL 10-11-2024.xls,2024-10-11
IN0020230176,07.37 GOI SGRB 2054,31.582,CCIL 10-11-2024.xls,2024-10-11
IN0020240126,06.79 GS 2034,31.0,CCIL 10-11-2024.xls,2024-10-11
IN0020220037,07.38 GS 2027,15085.482,CCIL 10-25-2024.xls,2024-10-25
IN0020240050,07.04 GS 2029,9907.84,CCIL 10-25-2024.xls,2024-10-25
IN0020230085,07.18 GS 2033,26739.803,CCIL 10-25-2024.xls,2024-10-25
IN0020200112,05.22 GS 2025,10386.646,CCIL 10-25-2024.xls,2024-10-25
IN0020230010,07.06 GS 2028,11636.189,CCIL 10-25-2024.xls,2024-10-25
IN0020210186,05.74 GS 2026,6171.385,CCIL 10-25-2024.xls,2024-10-25
IN0020210012,05.63 GS 2026,12538.4,CCIL 10-25-2024.xls,2024-10-25
IN0020230101,07.37 GS 2028,6772.761,CCIL 10-25-2024.xls,2024-10-25
IN0020230077,07.18 GS 2037,14310.777,CCIL 10-25-2024.xls,2024-10-25
IN0020240076,07.02 GS 2031,4206.165,CCIL 10-25-2024.xls,2024-10-25
IN0020230135,07.32 GS 2030,5450.675,CCIL 10-25-2024.xls,2024-10-25
IN0020240019,07.10 GS 2034,13720.645,CCIL 10-25-2024.xls,2024-10-25
IN0020220060,07.26 GS 2032,9962.806,CCIL 10-25-2024.xls,2024-10-25
