SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,New Georeferenced Column
261186721,1/1/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BRONX,40,1005671,237202,40.817717,-73.922607,POINT (-73.922607 40.817717)
261286005,1/3/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BRONX,40,1005463,233820,40.80843222,-73.92337169,POINT (-73.92337169 40.80843222)
261368951,1/4/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK HISPANIC,0,BRONX,40,1009347,235307,40.812505,-73.909335,POINT (-73.909335 40.812505)
261502106,1/5/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,QUEENS,103,1037559,194576,40.70058232,-73.80774181,POINT (-73.80774181 40.70058232)
261516506,1/7/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,MANHATTAN,7,987296,201153,40.71879468,-73.98901164,POINT (-73.98901164 40.71879468)
261554932,1/8/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,F,WHITE,0,QUEENS,103,1037778,194006,40.69901649,-73.80695652,POINT (-73.80695652 40.69901649)
261986312,1/13/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,BLACK,2,BROOKLYN,79,1001139,192774,40.695783,-73.939093,POINT (-73.939093 40.695783)
261882927,1/13/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,WHITE HISPANIC,2,BRONX,43,1021411,236890,40.81680582,-73.86574536,POINT (-73.86574536 40.81680582)
261926386,1/14/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,WHITE HISPANIC,2,BROOKLYN,79,1000630,193380,40.697447,-73.940928,POINT (-73.940928 40.697447)
261926387,1/14/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,F,BLACK,2,BROOKLYN,79,1000630,193380,40.697447,-73.940928,POINT (-73.940928 40.697447)
261921185,1/14/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK HISPANIC,0,BROOKLYN,75,1013908,180419,40.66183548,-73.89310101,POINT (-73.89310101 40.66183548)
262030479,1/16/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,2,BROOKLYN,79,1000301,192923,40.696192,-73.942116,POINT (-73.942116 40.696192)
262034561,1/16/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,2,BROOKLYN,79,999851,193263,40.697126,-73.943737,POINT (-73.943737 40.697126)
262036322,1/17/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,MANHATTAN,5,986423,201501,40.71975011,-73.99216085,POINT (-73.99216085 40.71975011)
262036323,1/17/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,MANHATTAN,5,986423,201501,40.71975011,-73.99216085,POINT (-73.99216085 40.71975011)
262122396,1/18/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,BLACK,2,BROOKLYN,81,1000876,191778,40.69305,-73.940044,POINT (-73.940044 40.69305)
262111664,1/18/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,MANHATTAN,7,989107,200970,40.71829158,-73.98247865,POINT (-73.98247865 40.71829158)
