week,customer_ID,day
1,15,4
1,1,3
1,4,2
1,20,1
1,17,5
1,17,5
1,5,6
1,3,1
1,6,7
1,8,6
1,3,5
1,9,4
1,12,3
1,7,4
1,8,4
1,1,4
1,16,2
1,20,2
1,16,2
1,19,4
1,18,1
1,9,7
1,1,4
1,3,1
1,7,1
1,5,2
1,16,7
1,1,5
1,10,4
1,6,7
1,1,4
1,8,7
1,2,2
1,17,2
1,6,6
1,14,2
1,6,5
1,1,3
1,17,5
1,19,7
1,14,7
1,6,7
1,20,7
1,15,5
1,3,6
1,14,4
1,20,2
1,4,4
1,4,7
1,12,1
1,7,1
1,16,6
1,10,5
1,6,5
1,20,5
1,11,2
1,13,5
1,14,4
1,19,3
1,10,2
1,13,5
1,2,1
1,19,1
1,17,6
1,13,4
1,1,2
1,9,3
1,14,5
1,2,1
1,5,5
1,2,2
1,3,4
1,5,3
1,6,7
1,6,6
1,20,2
1,6,5
1,12,6
1,2,7
1,20,2
1,20,3
1,15,1
1,13,4
1,14,1
1,6,1
1,11,6
1,7,2
1,15,3
1,16,1
1,3,2
1,4,6
1,16,7
1,11,5
1,4,5
1,9,1
1,3,2
1,2,1
1,16,5
1,19,4
1,13,5
2,17,4
2,18,3
2,8,3
2,14,4
2,12,5
2,20,6
2,20,4
2,14,3
2,15,2
2,13,7
2,1,5
2,10,6
2,19,5
2,12,1
2,15,2
2,19,3
2,10,1
2,18,2
2,5,1
2,18,1
2,10,4
2,17,1
2,11,3
2,4,3
2,7,4
2,20,6
2,11,2
2,19,2
2,1,4
2,6,2
2,15,3
2,7,2
2,15,1
2,12,6
2,14,6
2,20,1
2,16,1
2,9,5
2,11,6
2,15,7
2,11,7
2,17,1
2,14,3
2,5,4
2,19,2
2,12,7
2,9,7
2,14,5
2,11,7
2,15,3
2,16,1
2,20,5
2,16,2
2,4,6
2,17,6
2,19,1
2,19,7
2,5,2
2,8,1
2,12,2
2,19,3
2,18,4
2,16,7
2,9,7
2,10,6
2,17,2
2,15,3
2,18,7
2,5,7
2,16,7
2,13,4
2,14,4
2,4,2
2,3,4
2,6,2
2,8,3
2,5,3
2,2,5
2,17,5
2,9,1
2,17,2
2,7,7
2,10,1
2,5,1
2,2,5
2,18,5
2,17,4
2,13,1
2,9,7
2,12,2
2,2,5
2,17,5
2,9,4
2,3,3
2,19,4
2,7,3
2,19,5
2,5,2
2,15,6
2,1,4
2,12,4
2,1,2
2,15,1
2,2,7
2,11,1
2,6,4
2,7,6
2,15,1
2,15,3
2,3,4
