transcation_ID,Date,Address,Price
transaction 1,2023-01-01,address1,100
transaction 2,2023-01-02,address2,200
transaction 3,2023-01-03,address1,300
transaction 4,2023-01-03,address2,200
transaction 5,2023-01-04,address1,300
transaction 6,2023-01-05,address3,300
transaction 9,2023-01-06,address1,600
transaction 7,2023-01-07,address4,500
transaction 8,2023-01-08,address5,800
transaction 10,2023-01-09,address5,700
transaction 51,2023-01-24,address17,1775
transaction 47,2023-01-27,address20,750
transaction 45,2023-02-23,address20,1900
transaction 77,2023-02-28,address25,975
transaction 79,2023-03-06,address1,1700
transaction 20,2023-03-06,address23,750
transaction 89,2023-04-05,address11,150
transaction 86,2023-04-07,address24,1650
transaction 78,2023-04-11,address2,1875
transaction 71,2023-05-15,address11,1225
transaction 85,2023-05-21,address23,800
transaction 35,2023-05-21,address9,1850
transaction 69,2023-05-23,address1,700
transaction 38,2023-05-30,address1,1275
transaction 52,2023-05-31,address12,175
transaction 68,2023-06-09,address20,500
transaction 66,2023-06-12,address24,500
transaction 87,2023-06-15,address6,1725
transaction 34,2023-06-20,address3,1850
transaction 32,2023-06-22,address12,1675
transaction 22,2023-07-04,address15,875
transaction 19,2023-07-12,address4,1850
transaction 58,2023-07-18,address1,1200
transaction 60,2023-08-14,address3,1600
transaction 55,2023-08-17,address12,1700
transaction 83,2023-09-04,address22,775
transaction 48,2023-09-16,address20,1250
transaction 54,2023-09-25,address23,625
transaction 80,2023-10-11,address20,1800
transaction 17,2023-10-24,address2,1825
transaction 70,2023-10-27,address7,1975
transaction 84,2023-11-07,address22,575
transaction 90,2023-12-06,address11,1025
transaction 64,2023-12-07,address21,1350
transaction 61,2023-12-12,address7,100
transaction 88,2023-12-14,address13,1225
transaction 31,2023-12-22,address22,1575
transaction 59,2023-12-24,address15,1250
transaction 82,2024-02-06,address18,325
transaction 33,2024-02-12,address2,1675
transaction 42,2024-02-13,address13,1625
transaction 56,2024-02-15,address11,825
transaction 43,2024-02-15,address21,300
transaction 65,2024-02-16,address15,350
transaction 13,2024-03-04,address14,375
transaction 74,2024-03-26,address1,100
transaction 44,2024-03-27,address7,1175
transaction 30,2024-04-01,address22,1325
transaction 23,2024-04-04,address3,325
transaction 27,2024-04-12,address19,375
transaction 67,2024-04-21,address1,550
transaction 49,2024-04-22,address16,1075
transaction 75,2024-04-29,address25,475
transaction 28,2024-04-30,address9,300
transaction 63,2024-05-04,address22,1475
transaction 50,2024-05-05,address3,600
transaction 24,2024-05-15,address4,325
transaction 12,2024-06-03,address2,375
transaction 72,2024-06-13,address15,1700
transaction 76,2024-06-14,address18,1625
transaction 57,2024-06-14,address7,175
transaction 53,2024-06-24,address25,375
transaction 73,2024-06-28,address5,1725
transaction 11,2024-07-02,address11,1950
transaction 46,2024-07-03,address5,1250
transaction 25,2024-07-25,address25,1100
transaction 14,2024-08-02,address18,800
transaction 39,2024-08-02,address20,500
transaction 18,2024-08-07,address4,675
transaction 16,2024-08-22,address19,800
transaction 37,2024-08-26,address22,1000
transaction 15,2024-10-04,address21,275
transaction 62,2024-10-30,address16,350
transaction 40,2024-11-01,address23,250
transaction 41,2024-11-27,address15,1350
transaction 21,2024-11-27,address16,1100
transaction 26,2024-12-12,address11,1675
transaction 81,2024-12-16,address16,925
transaction 29,2024-12-19,address2,1925
transaction 36,2024-12-24,address9,1225
