album,streams_2023
Manana Sera Bonito Karol G,"5,130,293,275"
One Thing At A Time Morgan Wallen,"4,380,347,931"
Genesis Peso Pluma,"3,936,960,850"
Drive Tiesto,"3,876,226,367"
Meduza Meduza,"3,383,108,898"
Nadie Sabe Lo Que Va A Pasar Manana Bad Bunny,"3,341,708,923"
1989 (Taylor's Version) Taylor Swift,"3,264,335,874"
Utopia Travis Scott,"3,233,444,832"
Another Friday Night Joel Corry,"3,064,605,147"
El Comienzo Grupo Frontera,"3,054,665,040"
Golden Jung Kook,"2,999,668,022"
Barbie The Album Various Artists,"2,721,857,195"
Endless Summer Vacation Miley Cyrus,"2,661,235,729"
Guts Olivia Rodrigo,"2,541,263,197"
Donde Quiero Estar Quevedo,"2,458,711,666"
For All The Dogs Drake,"2,334,008,023"
Petals To Thorns D4vd,"2,281,484,675"
2000 Manuel Turizo,"2,273,691,618"
Cupido Tini,"2,269,990,711"
Speak Now (Taylor's Version) Taylor Swift,"2,185,019,850"
Face Jimin,"1,866,051,118"
Manana Sera Bonito (Bichota Season) Karol G,"1,865,089,756"
Data Tainy,"1,842,085,270"
Gloria Sam Smith,"1,813,809,951"
Pa Las Baby's Y Belikeada Fuerza Regida,"1,800,632,898"
Scarlet Doja Cat,"1,743,321,740"
Nata Montana Natanael Cano,"1,706,384,740"
Feed The Beast Kim Petras,"1,663,786,978"
Rush! Maneskin,"1,598,212,164"
Bebe Bebe Rexha,"1,584,913,442"
Don Juan Maluma,"1,584,477,286"
All Stand Together Lost Frequencies,"1,531,891,503"
Think Later Tate McRae,"1,500,550,929"
Desvelado Eslabon Armado,"1,471,610,131"
Unforgiven Le Sserafim,"1,391,047,421"
Ferxxocalipsis Feid,"1,377,831,797"
Zach Bryan Zach Bryan,"1,355,928,758"
Don't Stop The Magic Grupo Marca Registrada,"1,318,054,551"
Pink Friday 2 Nicki Minaj,"1,306,700,662"
Spider-Man: Across The Spider-Verse Metro Boomin,"1,303,716,578"
Layover V,"1,297,381,035"
Pink Tape Lil Uzi Vert,"1,291,378,611"
The Beginning Fifty Fifty,"1,277,142,295"
La Vida Es Una Myke Towers,"1,268,798,371"
Get Up NewJeans,"1,223,903,901"
Colmillo De Leche Carin Leon,"1,219,865,571"
Austin Post Malone,"1,188,894,362"
Every Cloud - Silver Linings Sigala,"1,180,868,986"
Angel Face Stephen Sanchez,"1,168,018,320"
Hello This Is The Setlist For My Tour Gayle,"1,166,466,967"
Fabula Mahalini,"1,106,402,021"
Religiously. The Album. Bailey Zimmerman,"1,087,054,215"
Phoenix Elley Duhe,"1,078,231,084"
Sugar Papi Marshmello,"1,067,083,814"
Red Moon In Venus Kali Uchis,"1,052,280,766"
A Million Ways To Murder Kordhell,"1,050,933,633"
Gettin' Old Luke Combs,"1,048,959,626"
3men2 Kbrn Eladio Carrion,"999,222,702"
Good Times Go Nicky Youre,"988,136,510"
A Gift & A Curse Gunna,"980,962,657"
Did You Know That There's A Tunnel Under Ocean Blvd Lana Del Rey,"972,809,586"
Six Jewels 23 Yng Lvcas,"972,773,934"
To Be (Ao Vivo) Henrique & Juliano,"966,955,639"
Lay Your Hands Upon My Heart Rosa Linn,"963,295,854"
Mirror Lauren Spencer Smith,"953,708,845"
My 21st Century Blues Raye,"937,440,433"
Heaven knows PinkPantheress,"930,851,292"
The Land Is Inhospitable And So Are We Mitski,"928,133,852"
Bluebird Days Jordan Davis,"922,801,882"
Sad Boyz 4 Life II Junior H,"918,377,419"
Escolhas (Ao Vivo) Ze Neto & Cristiano,"908,860,305"
Resistencia Yandel,"908,523,999"
Like..? Ice Spice,"890,280,707"
Broken By Desire To Be Heavenly Sent Lewis Capaldi,"860,355,584"
Split Decision Dave & Central Cee,"817,016,436"
"Mor, No Le Temas A La Oscuridad Feid","813,693,566"
Playa Saturno Rauw Alejandro,"805,805,023"
Cottonwood 2 NLE Choppa,"784,994,374"
Portals Melanie Martinez,"775,697,644"
Alchemical: Volume 1 Dove Cameron,"771,949,096"
Replica Vaundy,"766,422,774"
Never Enough Daniel Caesar,"762,982,518"
Decretos Reais Marilia Mendonca,"758,207,219"
D-Day Agust D,"748,421,841"
Pineapple Sunrise Beach Weather,"739,957,707"
Il Coraggio Dei Bambini Geolier,"716,792,577"
Estrella Mora,"705,460,300"
Based On A True Story... New West,"704,614,527"
Animal Various Artists,"698,584,985"
Super Unhealthy Anne-Marie,"694,873,947"
Subtract (-) Ed Sheeran,"693,758,519"
Deu Rolo In Goiania (Ao Vivo) Guilherme & Benuto,"691,103,196"
.mp3 Emilia,"681,675,423"
The Book 3 Yoasobi,"676,231,530"
Lagrimas | Crossover #4 Big One,"670,359,437"
Cracker Island Gorillaz,"662,551,227"
Senaryo Adie,"661,023,457"
Dark Side Justine Skye,"657,963,327"
Trustfall P!nk,"654,976,412"
Alone In A Crowd Oliver Tree,"651,784,706"
