"#","g#","Cover","Album","Streams","Daily"
"","88","","Mañana Será Bonito Karol G","5,095,382,732","7,819,376"
"","131","","One Thing At A Time Morgan Wallen","4,343,629,111","7,642,962"
"","161","","Génesis Peso Pluma","3,899,445,150","7,837,647"
"","167","","Drive Tiësto","3,862,146,918","2,927,251"
"","215","","Meduza Meduza","3,374,249,232","1,732,247"
"","228","","Nadie Sabe Lo Que Va A Pasar Mañana Bad Bunny","3,298,976,110","9,210,850"
"","237","","1989 (Taylor's Version) Taylor Swift","3,216,477,484","9,644,194"
"","243","","Utopia Travis Scott","3,179,969,235","11,028,106"
"","260","","Another Friday Night Joel Corry","3,058,463,756","1,266,219"
"","264","","El Comienzo Grupo Frontera","3,027,900,154","6,420,368"
"","278","","Golden Jung Kook","2,956,103,875","8,885,967"
"","332","","Barbie The Album Various Artists","2,694,741,952","5,867,752"
"","343","","Endless Summer Vacation Miley Cyrus","2,645,391,283","3,439,590"
"","389","","Guts Olivia Rodrigo","2,504,770,417","6,979,092"
"","404","","Donde Quiero Estar Quevedo","2,448,194,073","2,198,243"
"","440","","For All The Dogs Drake","2,298,482,198","7,136,304"
"","446","","Petals To Thorns D4vd","2,265,865,160","2,939,841"
"","447","","Cupido Tini","2,263,836,969","1,313,925"
"","449","","2000 Manuel Turizo","2,260,601,611","2,980,398"
"","479","","Speak Now (Taylor's Version) Taylor Swift","2,162,187,019","4,426,429"
"","617","","Face Jimin","1,844,618,468","4,186,148"
"","620","","Mañana Será Bonito (Bichota Season) Karol G","1,836,196,725","6,467,392"
"","622","","Data Tainy","1,830,187,231","2,395,025"
"","633","","Gloria Sam Smith","1,808,004,820","1,074,934"
"","649","","Pa Las Baby's Y Belikeada Fuerza Regida","1,764,224,792","8,049,121"
"","672","","Scarlet Doja Cat","1,722,521,487","4,419,694"
"","692","","Nata Montana Natanael Cano","1,689,974,736","3,596,765"
"","708","","Feed The Beast Kim Petras","1,658,595,907","996,724"
"","760","","Rush! Måneskin","1,584,869,206","2,629,135"
"","764","","Bebe Bebe Rexha","1,576,229,348","1,889,582"
"","767","","Don Juan Maluma","1,570,874,594","3,111,446"
"","795","","All Stand Together Lost Frequencies","1,526,182,062","1,231,012"
"","839","","Desvelado Eslabon Armado","1,464,908,646","1,457,658"
"","843","","Think Later Tate McRae","1,462,667,507","7,855,753"
"","903","","Unforgiven Le Sserafim","1,381,931,039","1,820,417"
"","931","","Ferxxocalipsis Feid","1,347,037,044","6,498,227"
"","953","","Zach Bryan Zach Bryan","1,329,366,750","5,101,532"
