Date,PX_GOLD,PX_OIL
1/31/08,922.7,91.75
2/29/08,975,101.84
3/31/08,916.2,101.58
4/30/08,865.1,113.46
5/30/08,887.3,127.35
6/30/08,928.3,140
7/31/08,913.9,124.08
8/29/08,831.2,115.46
9/30/08,874.2,100.64
10/31/08,718.2,67.81
11/28/08,816.2,54.43
12/31/08,884.3,44.6
1/30/09,927.3,41.68
2/27/09,942.5,44.76
3/31/09,922.6,49.66
4/30/09,891.2,51.12
5/29/09,978.8,66.31
6/30/09,927.4,69.89
7/31/09,953.7,69.45
8/31/09,952.2,69.96
9/30/09,1008,70.61
10/30/09,1040.4,77
11/30/09,1181.1,77.28
12/31/09,1096.2,79.36
1/29/10,1083,72.89
2/26/10,1118.9,79.66
3/31/10,1113.3,83.76
4/30/10,1180.7,86.15
5/31/10,1212.2,73.97
6/30/10,1245.9,75.63
7/30/10,1181.7,78.95
8/31/10,1249,71.92
9/30/10,1307.8,79.97
10/29/10,1357.6,81.43
11/30/10,1385,84.11
12/31/10,1421.4,91.38
1/31/11,1333.8,92.19
2/28/11,1409.9,96.97
3/31/11,1438.9,106.72
4/29/11,1556.4,113.93
5/31/11,1535.9,102.7
6/30/11,1502.8,95.42
7/29/11,1628.3,95.7
8/31/11,1829.3,88.81
9/30/11,1620.4,79.2
10/31/11,1725.2,93.19
11/30/11,1745.5,100.36
12/30/11,1566.8,98.83
1/31/12,1737.8,98.48
2/29/12,1711.3,107.07
3/30/12,1669.3,103.02
4/30/12,1664.2,104.87
5/31/12,1562.6,86.53
6/29/12,1604.2,84.96
7/31/12,1610.5,88.06
8/31/12,1685.3,96.47
9/28/12,1771.1,92.19
10/31/12,1719.1,86.24
11/30/12,1710.9,88.91
12/31/12,1675.8,91.82
1/31/13,1660.6,97.49
2/28/13,1578.1,92.05
3/29/13,1594.8,97.23
4/30/13,1472.1,93.46
5/31/13,1392.6,91.97
6/28/13,1223.7,96.56
7/31/13,1312.4,105.03
8/30/13,1395.8,107.65
9/30/13,1326.5,102.33
10/31/13,1323.7,96.38
11/29/13,1250.6,92.72
12/31/13,1202.3,98.42
1/31/14,1240.1,97.49
2/28/14,1321.6,102.59
3/31/14,1283.4,101.58
4/30/14,1295.9,99.74
5/30/14,1245.6,102.71
6/30/14,1322,105.37
7/31/14,1281.3,98.17
8/29/14,1286.5,95.96
9/30/14,1210.5,91.16
10/31/14,1171.6,80.54
11/28/14,1175.2,66.15
12/31/14,1184.1,53.27
1/30/15,1278.5,48.24
2/27/15,1213.1,49.76
3/31/15,1183.1,47.6
4/30/15,1182.4,59.63
5/29/15,1189.4,60.3
6/30/15,1171.8,59.47
7/31/15,1094.9,47.12
8/31/15,1132,49.2
9/30/15,1115.5,45.09
10/30/15,1141.4,46.59
11/30/15,1065.8,41.65
12/31/15,1060.2,37.04
1/29/16,1116.4,33.62
2/29/16,1234.4,33.75
3/31/16,1234.2,38.34
4/29/16,1290.5,45.92
5/31/16,1214.8,49.1
6/30/16,1320.6,48.33
7/29/16,1349,41.6
8/31/16,1307.9,44.7
9/30/16,1313.3,48.24
10/31/16,1273.1,46.86
11/30/16,1170.8,49.44
12/30/16,1151.7,53.72
1/31/17,1208.6,52.81
2/28/17,1253.9,54.01
3/31/17,1247.3,50.6
4/28/17,1268.3,49.33
5/31/17,1272,48.32
6/30/17,1242.3,46.04
7/31/17,1266.6,50.17
8/31/17,1318.5,47.23
9/29/17,1281.5,51.67
10/31/17,1270.5,54.38
11/30/17,1273.2,57.4
12/29/17,1309.3,60.42
1/31/18,1339,64.73
