GC1 Comdty (Gold),,,CL1 Comdty (Oil),
Date,PX_LAST,,Date,PX_LAST
1/31/2008,922.7,,1/31/2008,91.75
2/29/2008,975,,2/29/2008,101.84
3/31/2008,916.2,,3/31/2008,101.58
4/30/2008,865.1,,4/30/2008,113.46
5/30/2008,887.3,,5/30/2008,127.35
6/30/2008,928.3,,6/30/2008,140
7/31/2008,913.9,,7/31/2008,124.08
8/29/2008,831.2,,8/29/2008,115.46
9/30/2008,874.2,,9/30/2008,100.64
10/31/2008,718.2,,10/31/2008,67.81
11/28/2008,816.2,,11/28/2008,54.43
12/31/2008,884.3,,12/31/2008,44.6
1/30/2009,927.3,,1/30/2009,41.68
2/27/2009,942.5,,2/27/2009,44.76
3/31/2009,922.6,,3/31/2009,49.66
4/30/2009,891.2,,4/30/2009,51.12
5/29/2009,978.8,,5/29/2009,66.31
6/30/2009,927.4,,6/30/2009,69.89
7/31/2009,953.7,,7/31/2009,69.45
8/31/2009,952.2,,8/31/2009,69.96
9/30/2009,1008,,9/30/2009,70.61
10/30/2009,1040.4,,10/30/2009,77
11/30/2009,1181.1,,11/30/2009,77.28
12/31/2009,1096.2,,12/31/2009,79.36
1/29/2010,1083,,1/29/2010,72.89
2/26/2010,1118.9,,2/26/2010,79.66
3/31/2010,1113.3,,3/31/2010,83.76
4/30/2010,1180.7,,4/30/2010,86.15
5/31/2010,1212.2,,5/31/2010,73.97
6/30/2010,1245.9,,6/30/2010,75.63
7/30/2010,1181.7,,7/30/2010,78.95
8/31/2010,1249,,8/31/2010,71.92
9/30/2010,1307.8,,9/30/2010,79.97
10/29/2010,1357.6,,10/29/2010,81.43
11/30/2010,1385,,11/30/2010,84.11
12/31/2010,1421.4,,12/31/2010,91.38
1/31/2011,1333.8,,1/31/2011,92.19
2/28/2011,1409.9,,2/28/2011,96.97
3/31/2011,1438.9,,3/31/2011,106.72
4/29/2011,1556.4,,4/29/2011,113.93
5/31/2011,1535.9,,5/31/2011,102.7
6/30/2011,1502.8,,6/30/2011,95.42
7/29/2011,1628.3,,7/29/2011,95.7
8/31/2011,1829.3,,8/31/2011,88.81
9/30/2011,1620.4,,9/30/2011,79.2
10/31/2011,1725.2,,10/31/2011,93.19
11/30/2011,1745.5,,11/30/2011,100.36
12/30/2011,1566.8,,12/30/2011,98.83
1/31/2012,1737.8,,1/31/2012,98.48
2/29/2012,1711.3,,2/29/2012,107.07
3/30/2012,1669.3,,3/30/2012,103.02
4/30/2012,1664.2,,4/30/2012,104.87
5/31/2012,1562.6,,5/31/2012,86.53
6/29/2012,1604.2,,6/29/2012,84.96
7/31/2012,1610.5,,7/31/2012,88.06
8/31/2012,1685.3,,8/31/2012,96.47
9/28/2012,1771.1,,9/28/2012,92.19
10/31/2012,1719.1,,10/31/2012,86.24
11/30/2012,1710.9,,11/30/2012,88.91
12/31/2012,1675.8,,12/31/2012,91.82
1/31/2013,1660.6,,1/31/2013,97.49
2/28/2013,1578.1,,2/28/2013,92.05
3/29/2013,1594.8,,3/29/2013,97.23
4/30/2013,1472.1,,4/30/2013,93.46
5/31/2013,1392.6,,5/31/2013,91.97
6/28/2013,1223.7,,6/28/2013,96.56
7/31/2013,1312.4,,7/31/2013,105.03
8/30/2013,1395.8,,8/30/2013,107.65
9/30/2013,1326.5,,9/30/2013,102.33
10/31/2013,1323.7,,10/31/2013,96.38
