Geographic Area Name,industry,median_income,Gender
Alabama,Median all industries,46344,All
Alaska,Median all industries,61216,All
Arizona,Median all industries,51427,All
Arkansas,Median all industries,42916,All
California,Median all industries,62209,All
Colorado,Median all industries,61261,All
Connecticut,Median all industries,67140,All
Delaware,Median all industries,56646,All
District of Columbia,Median all industries,94565,All
Florida,Median all industries,46912,All
Georgia,Median all industries,50811,All
Hawaii,Median all industries,56257,All
Idaho,Median all industries,48379,All
Illinois,Median all industries,58102,All
Indiana,Median all industries,50541,All
Iowa,Median all industries,51069,All
Kansas,Median all industries,50704,All
Kentucky,Median all industries,47111,All
Louisiana,Median all industries,47525,All
Maine,Median all industries,52019,All
Maryland,Median all industries,67667,All
Massachusetts,Median all industries,72502,All
Michigan,Median all industries,52707,All
Minnesota,Median all industries,60209,All
Mississippi,Median all industries,41625,All
Missouri,Median all industries,50217,All
Montana,Median all industries,50237,All
Nebraska,Median all industries,50907,All
Nevada,Median all industries,50421,All
New Hampshire,Median all industries,61407,All
New Jersey,Median all industries,69184,All
New Mexico,Median all industries,48730,All
New York,Median all industries,63620,All
North Carolina,Median all industries,50344,All
North Dakota,Median all industries,51855,All
Ohio,Median all industries,51823,All
Oklahoma,Median all industries,45307,All
Oregon,Median all industries,56191,All
Pennsylvania,Median all industries,56065,All
Rhode Island,Median all industries,60397,All
South Carolina,Median all industries,46701,All
South Dakota,Median all industries,48621,All
Tennessee,Median all industries,46972,All
Texas,Median all industries,51450,All
Utah,Median all industries,53158,All
Vermont,Median all industries,53869,All
Virginia,Median all industries,61206,All
Washington,Median all industries,67110,All
West Virginia,Median all industries,45815,All
Wisconsin,Median all industries,52356,All
Wyoming,Median all industries,51171,All
Puerto Rico,Median all industries,25058,All
Alabama,"Agriculture, forestry, fishing and hunting, and mining:",47685,All
Alaska,"Agriculture, forestry, fishing and hunting, and mining:",83601,All
Arizona,"Agriculture, forestry, fishing and hunting, and mining:",51035,All
Arkansas,"Agriculture, forestry, fishing and hunting, and mining:",38959,All
California,"Agriculture, forestry, fishing and hunting, and mining:",35352,All
Colorado,"Agriculture, forestry, fishing and hunting, and mining:",56912,All
Connecticut,"Agriculture, forestry, fishing and hunting, and mining:",39224,All
Delaware,"Agriculture, forestry, fishing and hunting, and mining:",52013,All
District of Columbia,"Agriculture, forestry, fishing and hunting, and mining:",54143,All
Florida,"Agriculture, forestry, fishing and hunting, and mining:",38370,All
Georgia,"Agriculture, forestry, fishing and hunting, and mining:",42061,All
Hawaii,"Agriculture, forestry, fishing and hunting, and mining:",34108,All
Idaho,"Agriculture, forestry, fishing and hunting, and mining:",45808,All
Illinois,"Agriculture, forestry, fishing and hunting, and mining:",51882,All
Indiana,"Agriculture, forestry, fishing and hunting, and mining:",48629,All
Iowa,"Agriculture, forestry, fishing and hunting, and mining:",50031,All
Kansas,"Agriculture, forestry, fishing and hunting, and mining:",51274,All
Kentucky,"Agriculture, forestry, fishing and hunting, and mining:",50724,All
Louisiana,"Agriculture, forestry, fishing and hunting, and mining:",62012,All
Maine,"Agriculture, forestry, fishing and hunting, and mining:",50064,All
Maryland,"Agriculture, forestry, fishing and hunting, and mining:",52045,All
Massachusetts,"Agriculture, forestry, fishing and hunting, and mining:",51763,All
Michigan,"Agriculture, forestry, fishing and hunting, and mining:",43890,All
Minnesota,"Agriculture, forestry, fishing and hunting, and mining:",47408,All
Mississippi,"Agriculture, forestry, fishing and hunting, and mining:",51810,All
Missouri,"Agriculture, forestry, fishing and hunting, and mining:",42406,All
Montana,"Agriculture, forestry, fishing and hunting, and mining:",50678,All
Nebraska,"Agriculture, forestry, fishing and hunting, and mining:",46312,All
Nevada,"Agriculture, forestry, fishing and hunting, and mining:",84351,All
New Hampshire,"Agriculture, forestry, fishing and hunting, and mining:",42489,All
New Jersey,"Agriculture, forestry, fishing and hunting, and mining:",63059,All
New Mexico,"Agriculture, forestry, fishing and hunting, and mining:",50289,All
New York,"Agriculture, forestry, fishing and hunting, and mining:",41146,All
North Carolina,"Agriculture, forestry, fishing and hunting, and mining:",44129,All
North Dakota,"Agriculture, forestry, fishing and hunting, and mining:",61196,All
Ohio,"Agriculture, forestry, fishing and hunting, and mining:",50617,All
Oklahoma,"Agriculture, forestry, fishing and hunting, and mining:",52148,All
Oregon,"Agriculture, forestry, fishing and hunting, and mining:",41408,All
Pennsylvania,"Agriculture, forestry, fishing and hunting, and mining:",47853,All
Rhode Island,"Agriculture, forestry, fishing and hunting, and mining:",41206,All
South Carolina,"Agriculture, forestry, fishing and hunting, and mining:",43289,All
South Dakota,"Agriculture, forestry, fishing and hunting, and mining:",48688,All
Tennessee,"Agriculture, forestry, fishing and hunting, and mining:",46089,All
Texas,"Agriculture, forestry, fishing and hunting, and mining:",71506,All
Utah,"Agriculture, forestry, fishing and hunting, and mining:",68156,All
Vermont,"Agriculture, forestry, fishing and hunting, and mining:",35961,All
Virginia,"Agriculture, forestry, fishing and hunting, and mining:",36731,All
Washington,"Agriculture, forestry, fishing and hunting, and mining:",40577,All
West Virginia,"Agriculture, forestry, fishing and hunting, and mining:",66278,All
Wisconsin,"Agriculture, forestry, fishing and hunting, and mining:",41060,All
Wyoming,"Agriculture, forestry, fishing and hunting, and mining:",66767,All
Puerto Rico,"Agriculture, forestry, fishing and hunting, and mining:",16814,All
Alabama,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",44110,All
Alaska,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",30653,All
Arizona,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",37462,All
Arkansas,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",37418,All
California,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",34055,All
Colorado,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",38713,All
Connecticut,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",38418,All
Delaware,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",51747,All
District of Columbia,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",54143,All
Florida,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",36551,All
Georgia,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",39041,All
Hawaii,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",34108,All
Idaho,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",45133,All
Illinois,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",50283,All
Indiana,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",47136,All
Iowa,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",48042,All
Kansas,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",49427,All
Kentucky,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",45494,All
Louisiana,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",35897,All
Maine,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",50069,All
Maryland,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",42320,All
Massachusetts,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",50064,All
Michigan,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",41312,All
Minnesota,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",45507,All
Mississippi,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",50153,All
Missouri,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",39947,All
Montana,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",41848,All
Nebraska,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",45825,All
Nevada,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",50575,All
New Hampshire,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",41554,All
New Jersey,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",61666,All
New Mexico,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",31671,All
New York,"Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",40430,All
