Manufacturer,#_recalls
1888653 Ontario Inc,1
3M COMPANY TRAFFIC SAFETY SYSTEMS DIV.,1
3M Transportation Safety Division,1
"4-Star Trailers, Inc.",6
9299-5000 Quebec Inc.,1
A WORK OF ART MFG.,1
A-1 Auto Electric,1
"A-Z Bus Sales, Inc.",1
A. D. MILLER,1
A. GIRARDIN INC.,5
A.L. Solutions US,1
"A&M Systems, Inc.",1
"AAI MOTORSPORTS USA, LLC",1
ABADDON PRODUCTS CO.,1
"ABC ENGINEERING, CO",1
ABS Remorques,1
ACCESS MOBILITY CENTER,2
"ACCESS OPTIONS, INC",1
"Accessible Technologies, Inc.",1
"ACCESSIBLE VANS & MOBILITY, LLC.",1
"ACCESSIBLE VANS & MOBILTIY OF NY, LLC",1
"ACCESSORIES MARKETING, INC.",1
ACCESSORIES UNLIMITED,1
"ACCESSORY DIST., INC.",2
"Accubuilt, Inc.",11
ACCURIDE CORPORATION,8
ACER-MEX S.A.,1
Achieva Rubber Corp.,1
ACME TRK BODY & HOIST CO.,1
ACRO TRAILER COMPANY,2
"ACTION AUTO BODY, INC.",1
ACTIVE TECHNOLOGY,1
Adaptive Mobility Systems Inc,1
"ADCO PRODUCTS, INC.",1
"Adient, PLC",7
Adkins Truck Equipment Co,1
Adrian Steel Company,1
Advance Engineered Products Ltd.,1
"ADVANCE MIXER, INC.",3
"Advance Stores Company, Incorporated",2
ADVANCED CARBON COMPOSITES INC.,6
ADVANCED ENGINE MANAGEMENT,1
"ADVANCED FUEL COMPONENTS, INC",1
"ADVANCED POWER SYSTEMS INTERNATIONAL, IN",2
"Advanced Wheels Of Technology, Inc.",1
"ADVENTIVE IDEAS, LLC",1
Adventure Manufacturing,3
"Adventurer Manufacturing, LLC",3
"Advics North America, Inc.",3
"AE SUNROOFS, LLC",1
AEBI-Schmidt,1
"AERO COACH, INC.",1
"Aero Industries, Inc.",2
"AERO MANUFACTURING, INC.",1
AFCO ELECTRONICS,1
"AFFINIA GROUP, INC.",2
"AFX North America, Inc.",4
Agility Fuel Solutions,7
AIMCO PRODUCTS INC.,3
AIR-O-MATIC PWR STRNG CO.,3
"AIRBAG SYSTEMS, INC.",1
"Airstream, Inc.",73
"Airxcel, Inc.",1
Aisin World Corp. of America,2
AJ MOTORSPORT,1
Akoury,2
Akron Brass Company,3
Alamo Group Inc.,6
ALCOA AL. CO. OF AMER.,7
Alcoa Inc.,3
Alexander Dennis Inc.,1
Alexis Fire Equipment Company,4
"ALFA LEISURE,INC.",16
"ALFA ROMEO, INCORPORATED",27
ALFAOTTO AUTO ACCESSORIES,1
"ALGAR ENTERPRISES, INC.",1
"All American Specialty Vehicles, LLC",1
"ALL IN ONE MOBILITY, INC.",1
ALL OUR KIDS JUVENILE PRO,1
"All Wheel Drive Equipment Mfg., Inc.",2
ALLEGHENY COUPLING COMPANY,1
"ALLEN CAMPER MFG. CO., INC.",2
"Alliance Bus Group, Inc.",1
"Alliance RV, LLC",5
ALLIED ACESS & AUTO PARTS,1
ALLIED TNK TRK EQUIP CO.,1
ALLIEDSIGNAL INC.,1
"Allison Transmission, Inc.",11
"Alloy Custom Products, Inc.",2
ALLQUALITY ENTERPRISES,1
ALLSTATE TRAILER SALES,1
Allwin Powersports Corp.,1
"Almared, Inc.",1
ALMIX,1
"ALOUETTE REC PRODUCTS,INC",4
Alpha Technology Corp,1
"Alpine Electronics of America, Inc.",1
"ALPS ELECTRIC CO., LTD",1
Alta Motors,1
"ALTAI INTERNATIONAL, INC.",2
"ALTEC ENVIRONMENTAL PRODUCTS, LLC",1
"Altec Industries, Inc.",163
Aluma KLM,4
"ALUMA TOWER COMPANY, INC",1
"ALUMINA, INC",2
Aluminum Trailer Company (ATC),13
AM Equipment,2
AM GENERAL LLC,56
AM HOIST & DERRICK CO.,2
"AM SAFE, INC.",4
AMER. SAFETY EQUIP. CORP.,2
AMEREX CORPORATION,1
"AMERICAN CAR CARE CENTERS, INC.",3
"American Cargo, LLC",1
AMERICAN CARRIAGE INC.,1
AMERICAN CHIMEI INC.,1
American Chrome Company,1
AMERICAN CLIPPER CORP.,1
American Custom Golf Cars,2
AMERICAN EAGLE MOTORCYCLE CO.,1
AMERICAN EMERGENCY VEHICLES,2
"AMERICAN GARELLI EAST,LTD",4
AMERICAN GREASE STICK CO.,1
American Grease Stick Company,1
American Hauler,3
"AMERICAN IKARUS, INC.",1
AMERICAN INTL CONVERSIONS,1
American IronHorse Motorcycle Company,4
"AMERICAN JAWA, LIMITED",1
American Kenda Rubber Industrial Company,1
AMERICAN LAFRANCE LLC,10
AMERICAN LIMOUSINE MFG. INC.,1
"AMERICAN MOPEDS, INC.",1
"American Pacific Industries, Inc.",3
AMERICAN PRODUCTS COMPANY,4
"AMERICAN PRODUCTS COMPANY, INC.",1
