museum,location,#_objects,latitude,longitude
British Museum,"Great Russell St, Bloomsbury, London WC1B 3DG, United Kingdom",944,51.51789233,-0.127137866
"Ethnologisches Museum, Staatliche Museen zu Berlin","Schloßpl., 10178 Berlin, Germany",518,52.51746174,13.39980406
Field Museum,"1400 S Lake Shore Dr, Chicago, IL 60605, United States",393,41.86621702,-87.61705196
"Museum of Archaeology and Anthropology, University of Cambridge","Downing St, Cambridge CB2 3DZ, United Kingdom",350,52.2031825,0.122099614
"National Museum, Benin","Ring Road, Benin City, P.M.B. 1115, Benin City , Edo State",285,6.33394,5.62449
Staatliche Ethnographische Sammlungen Sachsen und Staatliche Kunstsammlungen Dresden,"Johannispl. 5-11, 04103 Leipzig, Germany",283,51.33753845,12.38719863
Weltmuseum Wien,"Heldenplatz, 1010 Wien, Austria",202,48.20602549,16.36331501
University of Pennsylvania Museum of Archaeology and Anthropology (Penn Museum),"3260 South St, Philadelphia, PA 19104, United States",188,39.94976044,-75.19099568
MARKK Museum am Rothenbaum Kulturen und Künste der Welt,Rothenbaumchaussee 64 20148 Hamburg,179,53.56854035,9.98901811
Metropolitan Museum of Art,"1000 5th Ave, New York, NY 10028, United States",154,40.77838211,-73.96315615
Pitt Rivers Museum,"South Parks Rd, Oxford, OX1 3PP",148,51.75841896,-1.253393772
Nationaal Museum van Wereldculturen and Wereldmuseum,"Willemskade 25, 3016 DM Rotterdam, Netherlands",122,51.90800499,4.480625635
Rautenstrauch-Joest-Museum,"Cäcilienstraße 29-33, 50676 Köln, Germany",92,50.93481,6.951529974
"National Museum, Lagos","Onikan Rd, Ikoyi 102273, Lagos, Nigeria",81,6.443647012,3.404237398
National Museums Scotland,"Chambers St, Edinburgh EH1 1JF, United Kingdom",74,55.94766004,-3.188922491
Horniman Museum and Gardens,"100 London Rd, London SE23 3PQ, UK",72,51.44093999,-0.061180014
"National Museums Liverpool, World Museum","William Brown St, Liverpool L3 8EN, United Kingdom",71,53.40944826,-2.980894543
"Linden-Museum Stuttgart, Staatliches Museum für Völkerkunde","Hegelpl. 1, 70174 Stuttgart, Germany",69,48.78256999,9.170250003
Fowler Museum at UCLA,"308 Charles E Young Dr N, Los Angeles, CA 90024, United States",64,34.07690839,-118.4433983
Weltkulturen Museum Frankfurt am Main,"Schaumainkai 29-37, 60594 Frankfurt am Main, Germany",55,50.10575277,8.679219004
"Världskultur Museerna, National Museums of World Culture","Djurgårdsbrunnsvägen 34, 115 27 Stockholm, Sweden",53,59.33284,18.12051
American Museum of Natural History,"200 Central Park West, New York, NY 10024, United States",48,40.78130769,-73.97281663
National Museum of Ireland,"Kildare St, Dublin 2, Ireland",46,53.3404911,-6.255480796
Peabody Museum of Archaeology and Ethnology at Harvard University,"11 Divinity Ave, Cambridge, MA 02138, United States",43,42.3782472,-71.11466971
Smithsonian National Museum of African Art,"950 Independence Ave SW, Washington, DC 20560, United States",37,38.88796216,-77.02550921
musée du quai Branly - Jacques Chirac,"37 Quai Branly, 75007 Paris, France",35,48.86149998,2.297744026
"Reiss-Engelhorn-Museen, Museum Weltkulturen","Museum Zeughaus, C5, 68159 Mannheim, Germany",32,49.48805,8.46128
Glasgow Museums (Kelvingrove Art Gallery and Museum),"Argyle St, Glasgow G3 8AG, United Kingdom",32,55.86595933,-4.288136422
Peter the Great Museum of Anthropology and Ethnography (the Kunstkamera),"University Embankment, 3, St Petersburg, Russia, 199034",28,59.9346,30.28992
"Museum Fünf Kontinente, Staatliche Museen in Bayern","Maximilianstraße 42, 80538 München, Germany",24,48.13752001,11.58574996
"UiO, Museum of Cultural History, University of Oslo","Frognerseteren Bruk, Kabelgata 34, 0580 Oslo, Norway",23,59.92877099,10.82051839
Manchester Museum,"Oxford Rd, Manchester M13 9PL, UK",23,53.46013112,-2.228043147
Brooklyn Museum,"200 Eastern Pkwy, Brooklyn, NY 11238, United States",23,40.67134965,-73.96368254
Museum der Kulturen Basel,"Münsterpl. 20, 4051 Basel, Switzerland",20,47.55733737,7.590599632
Übersee-Museum Bremen,"Bahnhofspl. 13, 28195 Bremen, Germany",18,53.08306002,8.811300028
Royal Pavilion & Museums Trust,"Pavilion Parade, Brighton BN1 1EE, United Kingdom",18,50.82206999,-0.136515009
Völkerkundemuseum der Universität Zürich,"Pelikanstrasse 40, 8001 Zürich, Switzerland",17,47.37082628,8.534349039
Smithsonian National Museum of Natural History,"10th St. & Constitution Ave. NW, Washington, DC 20560, United States",16,38.89208002,-77.02602997
Indianapolis Museum of Art at Newfields,"4000 N Michigan Rd, Indianapolis, IN 46208, United States",15,39.825566,-86.18249401
