artist,album,total_streams,daily_streams
Bad Bunny,Un Verano Sin Ti,14005165955,11524692
Ed Sheeran,_(Deluxe),13672526591,4151191
The Weeknd,Starboy (Deluxe),11364566089,10173756
Post Malone,Hollywood's Bleeding,11324190726,5055828
Dua Lipa,Dua Lipa (Complete Edition),11265289690,3789282
Post Malone,beerbongs & bentleys,11056433976,2649868
Dua Lipa,Future Nostalgia (The Moonlight Edition),11005573677,5138095
The Weeknd,After Hours (Deluxe),10549523204,6368203
Olivia Rodrigo,SOUR,10234092862,7212529
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",10046951082,3352862
Ed Sheeran,x (Wembley Edition),9970828991,2429759
XXXTENTACION,? (Deluxe),9812216407,2989802
Justin Bieber,Purpose (Deluxe),9294480330,2478161
Drake,Scorpion,9264202263,3043155
Bad Bunny,YHLQMDLG,8721303018,3897286
Drake,Views,8681135992,3049413
Post Malone,Stoney (Complete Edition),8364983623,2218549
The Weeknd,Beauty Behind The Madness,8240649364,3501878
Harry Styles,Fine Line,8185804599,4028972
Billie Eilish,dont smile at me (Expanded Edition),8123501525,4022560
Juice WRLD,Goodbye & Good Riddance,8069629993,3208404
Sam Smith,In The Lonely Hour (Drowning Shadows Edition),7872071809,2493394
Travis Scott,ASTROWORLD,7730843400,3437461
Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),7491764789,3511238
XXXTENTACION,17,7441075429,2696853
Arctic Monkeys,AM,7347405566,6266581
Justin Bieber,Justice (The Complete Edition),7088431925,3365408
Ariana Grande,"thank u, next",7082464235,2104977
Imagine Dragons,Evolve,7067482756,3084415
Taylor Swift,Lover,6997940644,13760219
Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe),6940869885,2880995
Kendrick Lamar,DAMN.,6926830807,3087249
Shawn Mendes,Shawn Mendes (Deluxe),6875762398,1631199
Doja Cat,Planet Her (Deluxe),6729983605,3782469
Bruno Mars,Doo-Wops & Hooligans,6700815897,4454431
The Kid LAROI,F*CK LOVE 3+: OVER YOU,6634686703,2787687
Taylor Swift,1989 (Deluxe),6496718413,11098903
Twenty One Pilots,Blurryface,6408738790,2193992
Drake,More Life,6350678964,2502385
Harry Styles,Harry's House,6225619904,6792280
Shawn Mendes,Illuminate (Deluxe),6219924402,2262741
Imagine Dragons,Night Visions (Deluxe),6185805642,2640147
Taylor Swift,Midnights (The Til Dawn Edition),6144927960,13230051
Rihanna,ANTI (Deluxe),6103689321,2601625
Taylor Swift,reputation (Big Machine Radio Release Special),5901272534,8376053
Lana Del Rey,Born To Die – Paradise Edition (Special Version),5892641805,6337896
Adele,21,5878005868,3529151
Adele,25,5863183214,2574642
Lin-Manuel Miranda,Hamilton (Original Broadway Cast Recording),5854742871,1829074
Eminem,The Eminem Show (Expanded Edition),5848238261,3690522
