FEATURES_DESC_006A,integers-only,to-float
'PERDIDO CREEK',"""1""",7
'PERDIDO CREEK',"""2""",7
'UCHEE CREEK',"""1""",6
'LITTLE BEAR CR. DAM SPW',"""2""",7
'TENNESSEE RIVER',"""1""",5
'TENNESSEE RIVER',"""2""",
'BLACKWATER CREEK',"""1""",5
'LOST CREEK',"""2""",4
'LITTLE PAINT ROCK CREEK',"""1""",7
'Driver Creek',"""2""",
'COAL   CREEK',"""1""",7
'VIADUCT OVER SO.RR',"""2""",7
'BEAR CREEK DAM SPILLWAY',"""1""",7
'TOWN CREEK',"""2""",N
'SOUTHERNLNRAILROAD',"""1""",6
'BUS BAR TUNNEL- REMOVED',"""2""",7
'RODGERS BRANCH',"""1""",N
'LAUREL  CREEK',"""2""",5
'LITTLE CAHABA RIVER',"""1""",5
'Swamp Creek',"""2""",5
'MOORES CREEK',"""1""",
'Rotary Trail Park',"""2""",4
'SANDY CREEK SPUR',"""1""",5
'VALLEY CK',"""2""",N
'BLACK BRANCH',"""1""",6
'GINHOUSE BRANCH',"""2""",5
'BRANCH',"""1""",N
'COPELAND CREEK',"""2""",5
'L*N RAIL ROAD',"""1""",4
'CSX RR',"""2""",7
'L*N RR',"""1""",5
'CO RT 1065 SUCARNOCHEE R',"""2""",1
'SILVER RUN CREEK',"""1""",6
'DOUBLE BRIDGES CREEK',"""2""",5
'LITTLE UCHEE CREEK',"""1""",5
'DRAINAGE DITCH',"""2""",
'DRAINAGE DITCH',"""1""",N
'VILLAGE CREEK',"""2""",6
'FRISCO * SO RR',"""1""",
'BRANCH',"""2""",5
'VILLAGE CREEK',"""1""",6
'RODGERS BRANCH',"""2""",5
'TRIB TO CEDAR CREEK',"""1""",4
'MILL CREEK',"""2""",4
'MORRIS AVE * RR',"""1""",3
'MORRIS AVE * RR',"""2""",3
'TOWN BRANCH',"""1""",N
'SHOAL CREEK',"""2""",5
'VILLAGE CK',"""1""",3
'VILLAGE CK',"""2""",6
'VILLAGE CK',"""1""",5
'Socapatoy Creek',"""2""",4
'SHADES CREEK',"""1""",6
'TALLAHATCHEE CREEK',"""2""",6
'Hickory Hollow Ck.',"""1""",N
'Rogers Creek',"""2""",N
'WILSON CREEK',"""1""",N
'ST. FLORIAN BRANCH',"""2""",N
'BRANCH',"""1""",5
'Trib. to Minters Creek',"""2""",N
'Trib. to Minters Creek',"""1""",N
'Jordan Branch',"""2""",N
'HIGHPINE CREEK',"""1""",5
'LOST CREEK',"""2""",6
'SOUTH SANDY CREEK',"""1""",4
'MANOY CREEK',"""2""",5
'BRANCH',"""1""",4
'LITTLE WILLS CREEK',"""2""",6
'SANDY CREEK',"""1""",4
'SANDY CREEK',"""2""",5
'SANDY CREEK',"""1""",6
'BRANCH',"""2""",5
'AUDUBON DITCH',"""1""",N
'BIG WILLS CREEK',"""2""",6
'VALLEY CREEK',"""1""",N
'COTACO CREEK',"""2""",0
'TOWN CREEK',"""1""",6
'SALT CREEK',"""2""",6
'JAYBIRD CREEK',"""1""",5
'SOAPSTONE CREEK',"""2""",6
'SWEETWATER CREEK',"""1""",5
'EMUCKFAW CREEK',"""2""",4
'WEDOWEE CREEK',"""1""",N
'NORFOLK SOUTHERN',"""2""",6
'SHOAL CREEK',"""1""",6
'BIG CREEK',"""2""",5
'BENGIS  CREEK',"""1""",4
'TIMBERGUT CREEK',"""2""",5
'GALLAWAY CREEK',"""1""",4
'LITTLE WHIPPOORWILL CRK',"""2""",4
'BRANCH',"""1""",7
'BRANCH',"""2""",6
'BRANCH',"""1""",6
'BRANCH',"""2""",6
'BRANCH',"""1""",6
'BRANCH',"""2""",6
'BRANCH',"""1""",5
'RAILROAD',"""2""",6
'GIN HOUSE BRANCH',"""1""",5
