OPE ID,School,State,zip,School Type,dl_sub_#,dl_sub_$,dl_unsub_#,dl_unsub_$,academic_year,Quarter
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,35762,Public,1784.0,3800011.0,1696.0,,2021-2022,1
100300,FAULKNER UNIVERSITY,AL,36109,Private-Nonprofit,822.0,1313372.0,897.0,,2021-2022,1
100400,UNIVERSITY OF MONTEVALLO,AL,35115,Public,911.0,1866171.0,1069.0,,2021-2022,1
100500,ALABAMA STATE UNIVERSITY,AL,36104,Public,991.0,2229604.0,1020.0,,2021-2022,1
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,35010,Public,161.0,288345.0,69.0,,2021-2022,1
100800,ATHENS STATE UNIVERSITY,AL,35611,Public,784.0,1738959.0,715.0,,2021-2022,1
100900,AUBURN UNIVERSITY,AL,36849,Public,4340.0,9554539.0,5196.0,,2021-2022,1
101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,35254,Private-Nonprofit,299.0,637991.0,413.0,,2021-2022,1
101300,CALHOUN COMMUNITY COLLEGE,AL,35671,Public,856.0,1566211.0,927.0,,2021-2022,1
101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,36331,Public,248.0,435454.0,243.0,,2021-2022,1
101600,UNIVERSITY OF NORTH ALABAMA,AL,35632,Public,1599.0,3373644.0,1722.0,,2021-2022,1
101900,HUNTINGDON COLLEGE,AL,36106,Private-Nonprofit,460.0,985610.0,604.0,,2021-2022,1
102000,JACKSONVILLE STATE UNIVERSITY,AL,36265,Public,2956.0,6062286.0,3099.0,,2021-2022,1
102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,35215,Public,1277.0,2309563.0,328.0,,2021-2022,1
102400,UNIVERSITY OF WEST ALABAMA,AL,35470,Public,1079.0,2292157.0,1026.0,,2021-2022,1
102600,MARION MILITARY INSTITUTE,AL,36756,Public,78.0,131675.0,110.0,,2021-2022,1
102800,MILES COLLEGE,AL,35064,Private-Nonprofit,1043.0,2141162.0,1174.0,,2021-2022,1
102900,UNIVERSITY OF MOBILE,AL,36663,Private-Nonprofit,528.0,1062332.0,621.0,,2021-2022,1
103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,35986,Public,262.0,490319.0,66.0,,2021-2022,1
103300,OAKWOOD UNIVERSITY,AL,35896,Private-Nonprofit,314.0,709371.0,354.0,,2021-2022,1
103600,SAMFORD UNIVERSITY,AL,35229,Private-Nonprofit,591.0,1291286.0,862.0,,2021-2022,1
103800,SNEAD STATE COMMUNITY COLLEGE,AL,35957,Public,205.0,364907.0,179.0,,2021-2022,1
104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,36276,Public,590.0,1058164.0,637.0,,2021-2022,1
104100,SPRING HILL COLLEGE,AL,36608,Private-Nonprofit,381.0,812458.0,451.0,,2021-2022,1
104400,STILLMAN COLLEGE,AL,35401,Private-Nonprofit,355.0,752758.0,372.0,,2021-2022,1
104600,TALLADEGA COLLEGE,AL,35160,Private-Nonprofit,577.0,1248334.0,560.0,,2021-2022,1
104700,TROY UNIVERSITY,AL,36082,Public,3909.0,6717353.0,4034.0,,2021-2022,1
105000,TUSKEGEE UNIVERSITY,AL,36088,Private-Nonprofit,1110.0,2413933.0,1223.0,,2021-2022,1
105100,UNIVERSITY OF ALABAMA,AL,35487,Public,7431.0,16095683.0,9387.0,,2021-2022,1
105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,35294,Public,3813.0,7897327.0,4281.0,,2021-2022,1
105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,35899,Public,1755.0,3714919.0,2059.0,,2021-2022,1
105700,UNIVERSITY OF SOUTH ALABAMA,AL,36688,Public,3398.0,7133617.0,3724.0,,2021-2022,1
106000,COASTAL ALABAMA COMMUNITY COLLEGE,AL,36507,Public,992.0,1792328.0,1016.0,,2021-2022,1
106100,ALASKA PACIFIC UNIVERSITY,AK,99508,Private-Nonprofit,127.0,280383.0,120.0,,2021-2022,1
106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,99775,Public,821.0,1667469.0,810.0,,2021-2022,1
106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,99801,Public,158.0,323378.0,183.0,,2021-2022,1
107100,ARIZONA WESTERN COLLEGE,AZ,85365,Public,14.0,13500.0,8.0,,2021-2022,1
107200,COCHISE COLLEGE,AZ,85635,Public,169.0,324368.0,139.0,,2021-2022,1
