iso2,year,m014,m1524,m2534,m3544,m4554,m5564,m65,f014,f1524,f2534,f3544,f4554,f5564,f65
AF,1997,0,10,6,3,5,2,0,5,38,36,14,8,0,1
AF,1998,30,129,128,90,89,64,41,45,350,419,194,118,61,20
AF,1999,8,55,55,47,34,21,8,25,139,160,110,50,25,8
AF,2000,52,228,183,149,129,94,80,93,414,565,339,205,99,36
AF,2001,129,379,349,274,204,139,103,146,799,888,586,375,179,89
AF,2002,90,476,481,368,246,241,189,192,1119,1251,792,526,320,218
AF,2003,127,511,436,284,256,288,203,245,1152,1287,814,462,305,158
AF,2004,139,537,568,360,358,386,310,256,1360,1561,1096,645,413,256
AF,2005,151,606,560,472,453,470,419,320,1651,1959,1302,869,471,246
AF,2006,193,837,791,574,572,572,410,442,2139,2340,1654,1006,630,309
AF,2007,186,856,840,597,566,630,507,475,2224,2357,1708,1143,771,353
AF,2008,187,941,773,545,570,630,575,428,2094,2449,1614,1149,817,364
