date,#_widgets
2019-01-01,70
2019-01-02,71
2019-01-03,42
2019-01-04,94
2019-01-05,55
2019-01-06,30
2019-01-07,68
2019-01-08,9
2019-01-09,28
2019-01-10,43
2019-01-11,77
2019-01-12,43
2019-01-13,88
2019-01-14,64
2019-01-15,58
2019-01-16,8
2019-01-17,7
2019-01-18,95
2019-01-19,67
2019-01-20,54
2019-01-21,47
2019-01-22,27
2019-01-23,1
2019-01-24,27
2019-01-25,73
2019-01-26,79
2019-01-27,5
2019-01-28,71
2019-01-29,90
2019-01-30,79
2019-01-31,46
2019-02-01,5
2019-02-02,80
2019-02-03,52
2019-02-04,17
2019-02-05,73
2019-02-06,9
2019-02-07,71
2019-02-08,98
2019-02-09,32
2019-02-10,15
2019-02-11,77
2019-02-12,13
2019-02-13,83
2019-02-14,11
2019-02-15,36
2019-02-16,78
2019-02-17,58
2019-02-18,51
2019-02-19,71
2019-02-20,82
2019-02-21,29
2019-02-22,49
2019-02-23,74
2019-02-24,60
2019-02-25,0
2019-02-26,1
2019-02-27,33
2019-02-28,74
2019-03-01,53
2019-03-02,74
2019-03-03,82
2019-03-04,45
2019-03-05,64
2019-03-06,10
2019-03-07,93
2019-03-08,34
2019-03-09,85
2019-03-10,73
2019-03-11,1
2019-03-12,94
2019-03-13,70
2019-03-14,78
2019-03-15,7
2019-03-16,26
2019-03-17,38
2019-03-18,54
2019-03-19,78
2019-03-20,81
2019-03-21,93
2019-03-22,89
2019-03-23,51
2019-03-24,46
2019-03-25,84
2019-03-26,33
2019-03-27,7
2019-03-28,75
2019-03-29,13
2019-03-30,72
2019-03-31,19
2019-04-01,61
2019-04-02,45
2019-04-03,46
2019-04-04,53
2019-04-05,22
2019-04-06,97
2019-04-07,44
2019-04-08,79
2019-04-09,38
2019-04-10,94
2019-04-11,52
2019-04-12,78
2019-04-13,14
2019-04-14,78
2019-04-15,16
2019-04-16,71
2019-04-17,2
2019-04-18,71
2019-04-19,14
2019-04-20,75
2019-04-21,53
2019-04-22,9
2019-04-23,47
2019-04-24,35
2019-04-25,69
2019-04-26,82
2019-04-27,52
2019-04-28,68
2019-04-29,20
2019-04-30,23
2019-05-01,36
2019-05-02,8
2019-05-03,70
2019-05-04,33
2019-05-05,68
2019-05-06,71
2019-05-07,93
2019-05-08,82
2019-05-09,76
2019-05-10,55
2019-05-11,3
2019-05-12,26
2019-05-13,52
2019-05-14,45
2019-05-15,48
2019-05-16,18
2019-05-17,5
2019-05-18,66
2019-05-19,83
2019-05-20,42
2019-05-21,74
2019-05-22,89
2019-05-23,4
2019-05-24,29
2019-05-25,87
2019-05-26,3
2019-05-27,57
2019-05-28,65
2019-05-29,23
2019-05-30,39
2019-05-31,52
2019-06-01,86
2019-06-02,80
2019-06-03,48
2019-06-04,90
2019-06-05,56
2019-06-06,37
2019-06-07,18
2019-06-08,5
2019-06-09,26
2019-06-10,35
2019-06-11,5
2019-06-12,6
2019-06-13,87
2019-06-14,7
2019-06-15,73
2019-06-16,63
2019-06-17,51
2019-06-18,87
2019-06-19,70
2019-06-20,82
2019-06-21,93
2019-06-22,53
2019-06-23,40
2019-06-24,27
2019-06-25,7
2019-06-26,65
2019-06-27,30
2019-06-28,3
